hedge,sentence,usage_a,usage_b,gold,hedge_gold
"propongo","Básicamente, estoy de acuerdo con lo que dicen salvo en algún detalle que indicaré, pero no se han atenido a lo que <strong>propongo</strong> como punto de partida y que repetiré por si no quedó claro: Dado que, indiscutiblemente, utopía se refiere a ""lugar"" o ""sitio"", deberíamos empezar por intentar definir este término en situaciones beta.","Propongo que esperemos unos momentos. (juicio)","Propongo una reforma energética a nivel nacional. / Le propongo matrimonio a mi novia esta tarde. (afirmando una acción)",FALSE,FALSE
"quien sabe","Si fuera de las Vascongadas no llegan al exterminio físico, por ahora, no más se debe a falta de valor, porque estiman la masa aun no es lo bastante nutrida, el grupo quizás, <strong>quien sabe</strong>, a lo mejor no les protege del todo.","Quién sabe si esto funcione. (incertidumbre)","¿Quién sabe cómo resolver este problema? (buscando alguien)",FALSE,FALSE
"ocasionalmente","Ha de haber sido entre 1976 y 1978, porque la fórmula desempeñó una función ideológica importante en la creación del Estado de las Autonomías: una parte de las clases políticas vascas y catalanas se sentían más cómodas en un Estado, aunque fuese <strong>ocasionalmente</strong> español, que en España.","Ocasionalmente visito a mis tíos en España.","Otro",FALSE,FALSE
"suena","Este filósofo tan noble y limpio, no lo dice a las claras..., pero eso de &lt;""y mejor ponerte a escribir que darle a esa zambomba tuya que no <strong>suena</strong>.""","Tu idea me suena bien. (juicio)","Las bocinas suenan demasiado fuerte. (sonido)",FALSE,FALSE
"creo","Yo <strong>creo</strong> junto con Rodríguez Pardo, que el mayor problema está en esta Constitución que permite no ya esa marginación, sino el debilitamiento progresivo del Estado amparado en el vaciamiento del poder por todos: nadie quiere hoy verse representado por nadie cercano.","Yo creo que hay que esperar. (juicio)","Yo creo en la resurrección de Jesucristo. (creencia)",FALSE,FALSE
"no se","Pues porque parten de premisas equivocadas (insisto, lee ese artículo, por favor) como es decir que los individuos maximizan su utilidad cuando más bien la optimizan según los casos, o cuando se establece que los individuos son siempre competitivos entre sí, lo que <strong>no se</strong> aplica, por cierto, a muchas actividades de tipo corporativo donde lo ""razonable"" es la colaboración y coordinación entre sus miembros: precisamente la teoría de empresa a la que haces referencia contradice los postulados neoclásicos aunque en principio pudiera adscirbirse a ellos, como es el caso de libros como ""Control de la gestión empresarial"", de Pérez-Carballo (antiguo prof mío, por cierto), y tantos otros anglosajones.","No sé si sea la mejor idea. (incertidumbre)","Esto no se puede hacer en menos de una hora. (negación)",FALSE,FALSE
"tecnicamente","Por cierto que <strong>tecnicamente</strong>, Dogville es una total innovación, se desarrolla por entero en: ¿un pueblo de alta montaña?.","Técnicamente no es una respuesta correcta. (estrictamente)","Los resultados del estudio son técnicamente precisos. (de acuerdo a la técnica)",FALSE,FALSE
"deberia","Tener un hijo, plantar un árbol y escribir un libro (no pintar un cuadro o componer una canción) se tienen por tres actividades que nadie <strong>deberia</strong> dejar de hacer antes de abandonar este mundo.","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas.",FALSE,FALSE
"aproximadamente","<strong>aproximadamente</strong>.","La pared mide aproximadamente 15 metros.","Otro",FALSE,FALSE
"varios","A nosotros el circo del multiculturalismo, del etnicismo y otros <strong>varios</strong> nos va muy mal, pero que muy mal...","Tenemos varios servicios disponibles.","Otro",FALSE,FALSE
"propongo","aunque en España no es psosible ver fácilmente en las salas de cine películas como las que se mencionan en el artículo ue <strong>propongo</strong> para comenzar este tema, sí me parece pertinente su lectura, pues aporta,a mi juicio, material fenoménico para un mejor conocimiento del presente en México y el territorio vecino...","Propongo que esperemos unos momentos. (juicio)","Propongo una reforma energética a nivel nacional. / Le propongo matrimonio a mi novia esta tarde. (afirmando una acción)",FALSE,FALSE
"hay quien","Se trata de un documental que trata de reproducir morosamente ( siempre con truco pero en fin... ya se sabe que <strong>hay quien</strong> vio en el McGuffin precisamente una de los rasgos definitorios del llamado séptimo arte) el proceso de ""creación"" de un pintor, Antonio López ( interpretado además por el propio Antonio López).","Hay quien dice que murió ahogado.","Otro",FALSE,FALSE
"mas o menos","Por mi parte, puedo decir que todo se reduce a no perderme demasiado en ideas almodovarianas ni progresistas (entendiendo por progresismo el milenarismo, <strong>mas o menos</strong>...)","Me dijeron más o menos qué tengo que hacer. (poco específico)","Usa más o menos azúcar de acuerdo a tu gusto. (cantidad concreta)",FALSE,FALSE
"rara vez","Los escolásticos en sus tratados de trascendencia <strong>rara vez</strong> mencionan a los gremios, pero cuando lo hacen no es para elogiar sus políticas humanitarias sino para culparlos por sus prácticas monopolísticas.","Rara vez ceno en ese restaurante.","Otro",FALSE,FALSE
"reducido","5. ¿Quién ha <strong>reducido</strong> «la explicación del sujeto corpóreo a un sistema termodinámico»?","El espacio para convivir es reducido. (pequeño, pero sin especificar)","Los fondos para el arte se han reducido. (disminuido; bajado)",FALSE,FALSE
"gran parte","Y es que el párrafo de Menger no trata del valor del algodón o del atún que habría desaparecido, sino del valor del trabajo que ""perdió una <strong>gran parte</strong> de su cualidad de bien"" por haber cesado el suministro del bien secundario del algodón o del atún.","Una gran parte de ustedes me conoce.","Otro",FALSE,FALSE
"parcialmente","Creo que <strong>parcialmente</strong> es cierto lo que dice Felipe y digo parcialmente, por dos razones:","Lo que dices es parcialmente verdadero.","Otro",FALSE,FALSE
"frecuentemente","En el caso, claro está, de que los que aquí escribimos pretendamos mantenerlos como lugar de discusión y análisis razonados, y no, como parece que alguno intenta -amparándose, además, en un absurdo victimismo de proscrito que daría risa si no diera lástima-, en letrina de las más pueriles y delirantes extravagancias, más propias de adolescentes con literarias ínfulas alegóricas que de alguien al cual, hasta no hace mucho, le daba, muy <strong>frecuentemente</strong>, por pensar y razonar.","Mis padres me visitan frecuentemente.","Otro",FALSE,FALSE
"bastantes","Si tuviera una mayor capacidad económica y posibilidades de permisos en el trabajo, seguro que iría a <strong>bastantes</strong> más congresos, porque me parece interesante estar en ellos para discutir y poner a prueba mis tesis,etc.","Hay bastantes cosas por hacer.","Otro",FALSE,FALSE
"propongo","Como me parece que es oportuno, y el tema así lo requiere, <strong>propongo</strong> a los foristas reconducir la línea de discusión allí donde se detuvo en otros debates de cine (por ejemplo, el estudio sobre los ejes del espacio gnoseológico) es decir, con las aportaciones ya hechas aunque sin despreciar por completo algunos de los aspectos que aquí, en este peleado foro de Von Trier, se han tratado.","Propongo que esperemos unos momentos. (juicio)","Propongo una reforma energética a nivel nacional. / Le propongo matrimonio a mi novia esta tarde. (afirmando una acción)",FALSE,FALSE
"asumo","He sido torpe (una vez más) y lo <strong>asumo</strong>.","Yo asumo que me darán un aumento. (posibilidad)","Yo asumo la posición de director. (acción)",FALSE,FALSE
"suena","me <strong>suena</strong> a su antigua gansada en los foros de IU, que ya un día pegué en estos, y se vió obligado entonces a rectificar, que es lo que suelen tener que hacer los bocazas.","Tu idea me suena bien. (juicio)","Las bocinas suenan demasiado fuerte. (sonido)",FALSE,FALSE
"no se","Yo <strong>no se</strong> lo que son las &lt;&lt;condiciones laborales propias del s.XIX&gt;&gt;.","No sé si sea la mejor idea. (incertidumbre)","Esto no se puede hacer en menos de una hora. (negación)",FALSE,FALSE
"a veces","Mantiene a la colectividad en constante emulación, reanima sin cesar el fervor, fortalece el espíritu de partido, ahoga las críticas y <strong>a veces</strong> suscita un fanatismo en el cumplimiento de tareas incluso monstruosas, justificándolas por la santidad del fin.","A veces puedo ser un poco molesto.","Otro",FALSE,FALSE
"un par","Causalidad y libertad no formarán <strong>un par</strong> de términos antinómicos, sino un par de términos conjugados.","Tengo un par de sugerencias. (no es clara la cantidad, puede ser mayor a dos)","La tercia vence al par en un juego de póquer. (dos)",FALSE,FALSE
"algun","De este librito que ya cité en <strong>algun</strong> sitio anteriormente ya se ha hecho eco Juan Ramón Rallo: ","Algún lápiz habrá caído por la abertura.","Otro",FALSE,FALSE
"mas o menos","A la interesante cuestión propuesta por Enrique Ward sobre la capacidad de anticipar el futuro, y más concretamente de Arangúren, que queda resuelta en forma de renuncia al absoluto y predominio de la técnica, poco <strong>mas o menos</strong>.","Me dijeron más o menos qué tengo que hacer. (poco específico)","Usa más o menos azúcar de acuerdo a tu gusto. (cantidad concreta)",FALSE,FALSE
"espero","Sólo <strong>espero</strong> haber dejado claro que no pretendía en ningún momento aparcar o no tener en consideración las cuestiones desprendidas del ejercicio mismo de la aplicación de la Idea de holización a estas cuestiones.","Espero que todo salga bien. (posibilidad)","Espero tu respuesta antes del Lunes. (orden)",FALSE,FALSE
"la mayoria","En realidad, es la democracia el único sistema que nos permite cambiar la función circense periódicamente de manera civilizada, pues la alternativa de la lucha armada se hace atractiva entre los 15 a los 18 años (para <strong>la mayoria</strong>, por supuesto; aunque haya quien a los 80 años piense las mismas estupideces que a los 15 o 18 anos).","La mayoría de ustedes me conoce.","Otro",FALSE,FALSE
"tal vez","Y como al cine va uno con sus propias ideas y prejuicios a la espalda, al ver la película me he dicho que este arte, como cualquier otro, puede dar más (<strong>tal vez</strong> o a veces) de lo que el propio artista pretendió al crear su obra.","Tal vez sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"creo","Sobre algunas cuestiones planteadas en el foro sobre Platón creo que cabe hacer algunas puntualizaciones, aunque algunos foristas <strong>creo</strong> que ya las han aclarado bastante.","Yo creo que hay que esperar. (juicio)","Yo creo en la resurrección de Jesucristo. (creencia)",FALSE,FALSE
"algun","No se sí alguien se le ocurre <strong>algun</strong> comentario al respecto.","Algún lápiz habrá caído por la abertura.","Otro",FALSE,FALSE
"reducido","No hay ninguna contradicción, sencillamente porque que hayamos <strong>reducido</strong> a los animales a nuestro control no implica que en la actualidad no les reconozcamos voluntad y conducta muy similar a la nuestra.","El espacio para convivir es reducido. (pequeño, pero sin especificar)","Los fondos para el arte se han reducido. (disminuido; bajado)",FALSE,FALSE
"probablemente ","Pero es éticamente despreciable y <strong>probablemente </strong>jurídicamente denunciable.","Probablemente sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"entiendo","Pero no te <strong>entiendo</strong>.","Como yo lo entiendo, me quedaré en tu casa mañana. (juicio)","Yo entiendo la tarea de matemáticas. (comprensión)",FALSE,FALSE
"se ve","O sea, que pensamientos y razones se usan muchas y no se huye de ninguna, como <strong>se ve</strong>, aunque ninguna es realmente con-secuente debido a la desconexión de los dos mundos...¡¡por parte de la creatura!! Por tanto, la criatura, en tanto supuesta mengua o escasez intelectual del Sumo saber, no puede llegar a las verdades inefables de la fe y que sólo la irracional fe posibilita: para eso está el misticismo, que es una completa ausencia de raciocinio lógico.","Se ve como una propuesta interesante. (juicio)","Su casa se ve desde la colina. (ver con los ojos)",FALSE,FALSE
"esencialmente","Por último, creo que ya señalé suficientemente mis posiciones sobre el problema de la II República y la Guerra Civil, e incidí en todos mis trabajos y en los foros en las causas que llevaron a unas y otras, desde una perspectiva <strong>esencialmente</strong> leninista, de análisis de las fuerzas existentes y su influencia en determinadas capas del poder político.","La película es esencialmente una parodia.","Otro",FALSE,FALSE
"tecnicamente","El problema con la eugenesia es que se trata siempre de un experimento fundamentalmente aleatorio, siempre, desde Esparta o los mexicas hasta hoy, con toda nuestra cacharrería de laboratorio; no de que se trate de una manipulación <strong>tecnicamente</strong> determinada al cien por cien en su desenvolvimiento, en sus ""etapas"", esto último es rotundamente falso ¿no?","Técnicamente no es una respuesta correcta. (estrictamente)","Los resultados del estudio son técnicamente precisos. (de acuerdo a la técnica)",FALSE,FALSE
"virtualmente","Por tanto, la porción de la naturaleza que representa riqueza debe entenderse como una diminuta fracción que empieza virtualmente en cero e incluso aunque desde entonces se haya multiplicado en varios centenares, todavía es <strong>virtualmente</strong> cero cuando se considera cuán pequeña es la porción de masa terráquea, no digamos del Universo, que está sometida al control del hombre y cuán lejos está el hombre de entender todos los aspectos y utilidades potenciales de lo que ha llegado a estar bajo su control.","Es virtualmente imposible cruzar el río.","Yo me comunico virtualmente a través de mi computadora.",FALSE,FALSE
"aproximadamente","Por lo demás, desde 1973 <strong>aproximadamente</strong> caminamos hacia una desregulación progresiva de los mercados capitalistas mundiales.","La pared mide aproximadamente 15 metros.","Otro",FALSE,FALSE
"deberias","En tu papel de anfitrión <strong>deberias</strong> habérselas mostrado.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia.",FALSE,FALSE
"imagino","Pero sigo adviertiendo que si agotamos todas las vías ""moderadas"" y el problema no sólo no se arregla sino que se agrava, desgraciadamente la hipótesis de la dictadura (me <strong>imagino</strong> que mediante un ""Golpe de Estado"") empezaría a ser considerada en serio por algunos.","Imagino que hay que actuar cuanto antes. (juicio)","Imagino un mundo sin violencia. (capacidad)",FALSE,FALSE
"alguno","La de Gustavo Bueno no es diferente a la de Santiago por su radicalidad, sino porque la de Santiago no afirma un hecho que quepa verificar o falsar en modo <strong>alguno</strong> (es vacía pues de contenido y sin sentido), y la de Bueno, en cambio, si que lo hace.","Pedro no dejó rastro alguno.","Otro",FALSE,FALSE
"gran parte","Si la jugada le ha podido salir bien (bien, en el sentido de hacer descender electoralmente a ERC) al PSOE ha sido en <strong>gran parte</strong> porque el otro lado estaba tirando fuerte y muy crecido electoralmente.","Una gran parte de ustedes me conoce.","Otro",FALSE,FALSE
"asumo","Me refiero a la inclusión de un comentario mío, que <strong>asumo</strong>, pero que está claramente sacado de contexto y colocado en un lugar que, evidentemente, no corresponde.","Yo asumo que me darán un aumento. (posibilidad)","Yo asumo la posición de director. (acción)",FALSE,FALSE
"particularmente","Pero yo no veo nada de malo en ello, ni tampoco al hombre de paja por ninguna parte, al contrario, es un modo <strong>particularmente</strong> dialéctico de presentar el asunto.","Esto no es particularmente divertido.","Otro",FALSE,FALSE
"creo","No obstante, <strong>creo</strong> que puede discutirse más a fondo la cuestión, si lo desean los contertulios.","Yo creo que hay que esperar. (juicio)","Yo creo en la resurrección de Jesucristo. (creencia)",FALSE,FALSE
"reducido","La mayoría de los historiadores coincidirían actualmente con la afirmación de Moradiellos de que Negrín no fue una mera herramienta de los soviéticos, sino que seguía su propia política matizada, pero esa política era extremadamente individual y, como admite el autor, pasó a ser compartida por un número cada vez más <strong>reducido</strong> de republicanos.","El espacio para convivir es reducido. (pequeño, pero sin especificar)","Los fondos para el arte se han reducido. (disminuido; bajado)",FALSE,FALSE
"considero","Pues porque lo que Vega hace no es sino definir un caso concreto del arte, el pictórico, y es que, a mi modo de ver, no se puede juzgar de la misma forma un cuadro que una novela, y no solo porque sean dos formatos distintos materialmente hablando, sino porque ambos poseen características propias que los diferencian: la pintura es un caso concreto del arte, y de este caso hablo en un artículo que escribí para Catoblepas, El cine democrático: yo lo <strong>considero</strong> un arte extático donde predomina la belleza por encima de cualquier otro aspecto, pero en cambio el cine, como la literatura, es un medio de narración que cuenta historias, que posee una base argumental y unos principios narradores que pueden ser analizados por el conocimiento, por la Filosofía.","Yo considero que sería mejor esperar. (juicio)","Considero a Manuel como mi mejor amigo.",FALSE,FALSE
"supongo","Supongo que Ballesta ha leído a Gustavo Bueno y conoce si no la mayoría, sí algunas de las refutaciones de la existencia de Dios que desde el materialismo filosófico se defienden, por lo que <strong>supongo</strong>, que (a menos que esté situado en la falsa conciencia) tiene la capacidad para responder esas refutaciones de la existencia de Dios, para lo cual, le pido, si no es mucha molestia, que las exponga en estos foros.","Supongo que hay que esperar. (juicio)","Yo no supongo nada para la comunidad. (aportación)",FALSE,FALSE
"confio","Pero <strong>confio</strong> en que vd reserve algún mazazo que otro para los apologetas musulmanes, y de paso auguno más, de refilón, para los apologetas antiamericanos.","Yo confío en que todo saldrá bien. (posibilidad)","Confío el ciudado de mis hijos a José.",FALSE,FALSE
"pienso","De esa forma Spiegelman retrata un cuadro muy ajustado (<strong>pienso</strong>) en el que critica también ciertos rasgos y caracteres sociales del judío de aquella época, retratados muchas veces en la figura de su propio padre, un viejo neurótico (hilo conductor de la historia, pues es quien cuenta lo que ha vivido) que es capaz de escarbar en la basura para coger un cable antes que comprarlo en la tienda (de hecho, una de las veces Art dice: ""cielos, mi padre se ha convertido en la clásica caricatura del semita que cuenta centimos a la luz derretida de una vela); eso por no hablar del racismo del que hace uso el propio Vladek en la escena en la que opina de los negros (¿simple causalidad del caracter de su padre, o Art trata de representar el caracter sectario de ciertos núcleos judíos que emplean el mismo racismo con otras razas que el que emplearon los nazis con ellos?); rasgos reales que hacen que esta obra sea, desde luego (a mi entender) una pieza deliberadamente honesta que no rehuye en atisbar las miserias que hubo también entre aquellos que (desde luego, eso nadie puede negarlo) cayeron victimas de semejante barbarie.","Pienso que hay que esperar. (juicio)","Yo pienso en ti todas las tardes. (acción de pensar)",FALSE,FALSE
"rara vez","Descubrí que Langenstein <strong>rara vez</strong> es citado por actuales autores escolásticos, lo que indica que sus escritos no tenían mucha trascendencia.","Rara vez ceno en ese restaurante.","Otro",FALSE,FALSE
"algunos","Siempre les ha encantado ""revelar"" conspiraciones de los Estados y las ""megacorporaciones"" contra el pueblo, culpar a los Estados ""conservadores"" del hambre en el mundo, las guerras, las manipulaciones políticas y todas esas historias (todavía creen <strong>algunos</strong> que el atentado del 11-S fue ""inventado"" por la CIA para justificar las acciones bélicas posteriores: de ahí a creer en los marcianos no hay apenas trecho).","Algunos dicen que murió ahogado.","Otro",FALSE,FALSE
"parece","A lo mejor le <strong>parece</strong> poco, comparado con quienes dan ""soluciones"" imposibles, pero yo no puedo -en este contexto de los foros- hacer nada más.","Me parece que hay que esperar. (juicio)","Te pareces a tu padre en esta foto. (semejanza)",FALSE,FALSE
"no se","Luego desde la justicia hoy día imperante <strong>no se</strong> puede considerar un acto justo.","No sé si sea la mejor idea. (incertidumbre)","Esto no se puede hacer en menos de una hora. (negación)",FALSE,FALSE
"imagino","Yo diría que no falla el 'pueblo' fallarian si acaso las minorias, las vanguardias, las élites, es decir, aquellos que pueden 'inclinar' al pueblño... Por eso, aún estando de acuerdo con Atilana, cuando afirma que hay muy poco que esperar, visto el resultado electoral, del pueblo español, creo como, me <strong>imagino</strong> que ella piensa, algo cabe esperar, y no, como parece pensar J. María, nada de nada.","Imagino que hay que actuar cuanto antes. (juicio)","Imagino un mundo sin violencia. (capacidad)",FALSE,FALSE
"particularmente","Y en un régimen que se denomina a sí mismo socialista, habría que esperar que la parte de la tarta correspondiente al trabajo creciera, y ello no sólo en términos absolutos, sino también y <strong>particularmente</strong> en términos relativos.","Esto no es particularmente divertido.","Otro",FALSE,FALSE
"seguro","Por tanto, lo que quise decir y no dije es que si en la oposición el PSOE se mostró distáxico, el posible daño que hiciera al Estado español (incluso por prolepsis) a buen <strong>seguro</strong> sería imputado al PP (""si ellos tienen mayoría absoluta, todo lo malo que ocurra en España es culpa de ellos"", diría un militante del PSOE y así ellos se iban de rositas).","El evento seguro será un éxito.","No es seguro caminar por estas calles.",FALSE,FALSE
"medio","Pero debe reconocerse que la persistencia de esta falsedad durante decenios, su entronización en libros de historia y discursos políticos en <strong>medio</strong> mundo, constituye uno de los logros propagandísticos más notables del siglo XX.","Juan está medio loco. (poco específico)","Mi asiento es el de en medio. (centro)",FALSE,FALSE
"supongo","No creo que ese pueblo llano necesite más mitos de lo que lo hacen los licenciados (que <strong>supongo</strong> serán las antípodas del pueblo llano).","Supongo que hay que esperar. (juicio)","Yo no supongo nada para la comunidad. (aportación)",FALSE,FALSE
"podria","Por otra parte, Ballesta <strong>podria</strong> defender que «la razón» no puede comprender al Señor (y a sus amigos, la Virgen María, los santos, las «formas puras», etc.), y que por tanto estas pruebas no demuestran nada; naturalmente, semejante estrategia ad hoc es tan ridícula que no merece comentario ni respeto alguno (¿qué Idea de Razón, sacada de una chistera, podría esbozarnos Ballesta?","Esta ruta podría ser peligrosa. (posibilidad)","Yo podría imaginar un mundo sin violencia. (capacidad)",FALSE,FALSE
"varios","Rodrigues reconoce la crítica realizada por <strong>varios</strong> de nosotros (en muy diversos sentidos), pero creo que no la asume completamente.","Tenemos varios servicios disponibles.","Otro",FALSE,FALSE
"poco","Y como te salga mal, ya sabes la que te espera: garrote vil..., y como la historia la escriben los vencedores, no saldrías muy bien parado en ella..., recuerda y no olvides aquello de Edmundo Burke: que por odiar demasiado los vicios, acaban por amar demasiado <strong>poco</strong> a los hombres.","Sería poco prudente hablarle de esa manera. (juicio)","Hay poco gente en el público. (cantidad concreta)",FALSE,FALSE
"la mayoria","Supongo que los serios de este mundo podrían antes de borbotonear palabras inanes, leerse unos cuantos de esos mensajes a ver si en <strong>la mayoria</strong> de ellos me encuentran gracioso o son ""simple y llanamente, una estupidez"", como dice el nuevo atacante por el flanco de la Séptima el Sr. Germán Iglesias Hortal, que desde que se dio de alta (04 Feb 2007) en estos foros ha escrito siete (7), siete enjundiosos y sabrosísimos mensajes (7).","La mayoría de ustedes me conoce.","Otro",FALSE,FALSE
"esencialmente","La política excluye la simetría, la política es <strong>esencialmente</strong> asimétrica porque no es geometría, la política es el ámbito de los perennes conflictos, antagónicos, asimétricos.","La película es esencialmente una parodia.","Otro",FALSE,FALSE
"practicamente","Baste citar los clásicos y <strong>practicamente</strong> exhaustivos de J. Corcuera sobre la formación del ideario peneuvista, los en su momento muy valiosos de S. Payne, o el reciente de E. Ucelay sobre el imperialismo catalán, un aspecto poco examinado del ideario de Prat de la Riba.","La película es prácticamente una parodia.","Otro",FALSE,FALSE
"seguro","Que aun saliendo victoriosa la opción del NO a la Constitución, a nivel de la Unión, <strong>seguro</strong> que saldrá el SI...el referendum(en España) parece un poco absurdo, dadas las circunstancias, a mi juicio.","El evento seguro será un éxito.","No es seguro caminar por estas calles.",FALSE,FALSE
"bastantes","Para los que gusten de mayor precisión doxográfica, recordaré que esta división triádica, aunque fue la mayoritaria, fue contestada por <strong>bastantes</strong> autores soviéticos que presentaron una alternativa ontológica en cuatro divisiones: Dialéctica de la Naturaleza, Materialismo Histórico (Dialéctica de la Historia), Lógica dialéctica (Dialéctica del Pensamiento) y Dialéctica (Leyes generales de la Naturaleza, Historia y el Pensamiento).","Hay bastantes cosas por hacer.","Otro",FALSE,FALSE
"gran parte","Sí, pero el trabajo (creador y fuente del valor según estos archimarxistas no idiotas) ya no crea nada de nada y pasa a ser ese algo que ""perdió una gran parte de su cualidad de bien""; y si en lugar del algodón ponemos el atún, cuando este se extinga, ""la capacidad laboral (de que disponían aquellos hábiles trabajadores pescadores) seguiría siendo la misma, pero habría perdido una <strong>gran parte</strong> de su cualidad de bien, porque ya no existía el bien complementario, el atún"".","Una gran parte de ustedes me conoce.","Otro",FALSE,FALSE
"seguramente","Aunque algunas veces sus nodos han sido atacados por hackers (<strong>seguramente</strong> pagados por los que hacen el negocio con los demás dominios de primer nivel como COM, ORG, NET), la gente sigue contenta, por lo general, con ese servicio gratuito.","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente.",FALSE,FALSE
"esencialmente","He podido leer el artículo fotocopiado de la edición impresa y este, <strong>esencialmente</strong>, es su contenido, a la espera de que alguien pueda ponerlo entero.","La película es esencialmente una parodia.","Otro",FALSE,FALSE
"de repente","40. ¿Por qué cambia <strong>de repente</strong> la dinámica de envíos de dinamita a los islamistas?","De repente sentí muchas ganas de jugar futbol.","Otro",FALSE,FALSE
"tecnicamente","Pero en un estado (democrático o no &lt;&lt;<strong>tecnicamente</strong>&gt;&gt;) las mayorías políticas sólo pueden tener un sentido lógico, no aritmético.","Técnicamente no es una respuesta correcta. (estrictamente)","Los resultados del estudio son técnicamente precisos. (de acuerdo a la técnica)",FALSE,FALSE
"multiples","Se han hecho <strong>multiples</strong> interpretaciones de la novela de Tolkien.","Tenemos múltiples servicios disponibles.","Otro",FALSE,FALSE
"parece","Veamos esto:  Y hay que leer el resto..., aunque como este lío o impertinencia es a ""distancia"", aún no voy a caer en esto del Tresguerres:""me <strong>parece</strong> que de un insulto no cabe defenderse sino insultando"".","Me parece que hay que esperar. (juicio)","Te pareces a tu padre en esta foto. (semejanza)",FALSE,FALSE
"algo","En el Menón también desiste de definir la Virtud genéricamente: el poder de gobernar o hacer <strong>algo</strong> bien (con justicia, con sensatez tiene que añadir), y se conforma con decir cómo es, o, más bien, cómo no es: no es natural, no es enseñable por un solo maestro, no es muy común -depende de dones divinos- como nos ha ilustrado Pedro Insua).","Su salud es algo delicada. (se desconoce el grado)","Vi que algo se estaba moviendo. (se conoce la situación, no necesariamente los detalles)",FALSE,FALSE
"entiendo","Pues no lo se ya que no te <strong>entiendo</strong>.","Como yo lo entiendo, me quedaré en tu casa mañana. (juicio)","Yo entiendo la tarea de matemáticas. (comprensión)",FALSE,FALSE
"tal vez","Con esto dicho, ya he acabado el tema del Poder y el pueblo, que es, como se ve, un tema complejo...Aún no he acabado el Panfleto, (estoy en la página 186) por tanto <strong>tal vez</strong> haya sobre esto la continuación hasta el final.","Tal vez sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"casi","Creo que mi postura es <strong>casi</strong> la exactamente contraria a la de J. M., mi postura es que el EDB es, políticamente, demasiado difícilmente compatible con la unidad, y no digamos ya con la eutaxia, de los estados europeos en el medio plazo.","Casi no hay librerías en el pueblo. (se desconoce la situación)","Casi llego tarde a la junta. (se conoce la situación)",FALSE,FALSE
"basicamente","Con respecto a la ciencia, <strong>basicamente</strong>, planteaba que una rama del saber científico no desaparece o queda reducido cuando tiene que recurrir a otras esferas del conocimiento u otras ciencias.","La película es básicamente una parodia.","Otro",FALSE,FALSE
"frecuentemente","Para terminar de aclarar este aspecto, cito unas líneas de un manual clasico para quienes estudian cualquier neurociencia y que es reeditado <strong>frecuentemente</strong> y puesto al día en cada reedición: Principles of Neural Science de Eric R. Kandel, James H. Schwartz y Thomas M. Jessell (Prentice-Hall International, 3ª edición americana de 1991, pp.","Mis padres me visitan frecuentemente.","Otro",FALSE,FALSE
"hay quien","El documental de Médem parece querer poner en práctica la postura oficial del PNV y del gobierno de Ibarreche relativa al ""diálogo sin límites"" como fórmula de ""solución"" del ""problema vasco""; de este modo, y en nombre de la demócratica tolerancia y respeto a todas las posiciones y opiniones sobre el caso ( ideas fuerza estas que aparecen explícitamente representadas en un texto que hace de prólogo al filme), Médem procede a ofrecer al espectador, una serie de bloques de entrevistas - sin voz en off como queriendo añadir a la cosa una pátina ( evidentemente tramposa) de ""imparcialidad""-montadas en paralelo y separadas por fundidos en negro y por la intercalación de escenas de exteriores rupestres y de depotes rurales ( como queriendo indicar que... ""ya que a los vascos nos gusta levantar piedras, pues es claro que tenemos derecho a tener un estado"", y todavía <strong>hay quien</strong> discute inferencias como ésta!!!!!!).","Hay quien dice que murió ahogado.","Otro",FALSE,FALSE
"un par","En principio esto lo podemos admitir: que la causa más relevante del mercado pletórico pudo ser la URSS... Tenemos pues una conexión entre la URSS y el Mercado pletórico, una ""  "", una relación entre <strong>un par</strong>, entre dos partes..., pero esta relación ha de ser provisional en espera acaso de encontrar más partes, más conexiones, pues de lo contrario tendríamos en ese par una relación aislada, como una totalidad solitaria que excluyera en su propia formulación al resto del pluriverso (que es plural por sus diferentes versiones o modos nuestros de explicar este sólo mundo físico o real), al resto de partes extra partes.","Tengo un par de sugerencias. (no es clara la cantidad, puede ser mayor a dos)","La tercia vence al par en un juego de póquer. (dos)",FALSE,FALSE
"practicamente","En fin, como espero hacer ver, Santiago ni responde a la mayoría de las cuestiones que plantee en aquel mensaje mío, ni responde a esta, simplemente aprovecha la ocasión para decir lo que el piensa jugando con mis palabras y sugiriendo que soy yo quien lo afirma A mi ese juego no me parece limpio si este debate es filosófico-político; otra cosa es si fuera político pues <strong>practicamente</strong> en ese caso todo valdría, como dije el otro día, debido a la dialéctica amigo/enemigo (¡Y espero que esta vez Ángel entienda a que me refiero!) Pero no soy yo quien lo plantea de ese modo, sino Santiago artesilla por vía activa, y Rodríguez Pardo, tal vez, por vía pasiva u omisión (si tenemos en cuenta sus respuestas a Vega, Giménez o a mi mismo).","La película es prácticamente una parodia.","Otro",FALSE,FALSE
