hedge,sentence,usage_a,usage_b,gold,hedge_gold
"gran parte","Análisis posteriores concluyen que una <strong>gran parte</strong> de las culturas comparten un aborrecimiento psicológico hacia la práctica de relaciones sexuales o la tenencia de relaciones de parentesco adicionales entre individuos de la misma familia vinculados por otra relación de parentesco previa.","Una gran parte de ustedes me conoce.","Otro",FALSE,FALSE
"de repente","No debes abstenerte, al contrario, habla, grita, pero lo que no puedes pretender, es que <strong>de repente</strong> tu gobernases el mundo (puede pasar en cualquier momento...) o apoyar la idea de que alguien que tu consideras noble lo haga.","De repente sentí muchas ganas de jugar futbol.","Otro",FALSE,FALSE
"medio","¿Quién no disfruta imaginándose cómo alguien, en <strong>medio</strong> de un examen, se pone a gritar?","Juan está medio loco. (poco específico)","Mi asiento es el de en medio. (centro)",FALSE,FALSE
"no se","Estaba siendo el mes de abril más frío del siglo y los árboles que circundaban la facultad de química todavía <strong>no se</strong> atrevían a florecer.","No sé si sea la mejor idea. (incertidumbre)","Esto no se puede hacer en menos de una hora. (negación)",FALSE,FALSE
"reducido","Y lo contrario, a nivel macro, el problema de tres cuerpos <strong>reducido</strong> ya te dice que por mas determinadas que sean las leyes de un sistema caotico, su evolución no es determinista por el problema de la medición (la teoria del error habla de ello).","El espacio para convivir es reducido. (pequeño, pero sin especificar)","Los fondos para el arte se han reducido. (disminuido; bajado)",FALSE,FALSE
"considero","No es posible demostrar la inexistencia de algo, ya que de la nada no se puede explicar nada (eso un absurdo), es decir, si tu me argumentas que me crea a priori algo que no es demostrable existencialemente estás pidiendo el principio (falacia), y ésto es con lo que juega todo creyente para defender sus ''creencias'', pero esto es retórica pura ya que parte del supuesto de que cabe tal posibilidad, y esto es lo que está por demostrar (si es que es posible (sic)) por parte de ellos, por mi parte digo que (yo me <strong>considero</strong> ateo, no agnóstico como al parecer tu te declaras entrelíneas) la existencia supone la posibilidad de ella y ésta a la vez presupone la necesidad.","Yo considero que sería mejor esperar. (juicio)","Considero a Manuel como mi mejor amigo.",FALSE,FALSE
"esencialmente","No creo que esas organizaciones trasmitan nada, <strong>esencialmente</strong> se hacen para ganar dinero, como indicó esa investigación que les hicieron a todas hace un par de años en la que más de la mitad se habían enfundado buenas cantidades.","La película es esencialmente una parodia.","Otro",FALSE,FALSE
"probablemente ","Respecto al ladrillo con el simbolo todo está claro, un albañil iluminatí participaba sin duda en la construcción del edificio, puso ahi el ladrillo y <strong>probablemente </strong>se vengase de todos nosotros haciendo un pobre trabajo en el alicatado del servicio.","Probablemente sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"por decir algo","(<strong>por decir algo</strong>).","Podrías salir a comer, por decir algo. (sugerencia)","Castigaron a Manuel por decir algo ofensivo. (acción)",FALSE,FALSE
"un poco","Bueno queridismo y estimado L. A mi lo que me impresiona y preocupa <strong>un poco</strong> es que alguien que pertenece a la comunidad cientifica como el biologo Eric Pianka sugiera este año el exterminio del 90% de la poblacion mundial y que luego me entere que dice lo mismo en unas piedras ""guia"" que fueron construidas en georgia en el año 1980 por un grupo de personas desconocidas.","Es un poco atrevido hablarle de esa manera. (juicio)","Preparé un poco de caldo para la comida. (cantidad concreta)",FALSE,FALSE
"algunos","Y esos conocimientos que absorbía, <strong>algunos</strong> me podían valer para la práctica.","Algunos dicen que murió ahogado.","Otro",FALSE,FALSE
"la mayoria","Para dar voz a <strong>la mayoria</strong> de los ciudadanos del mundo que no están a favor de las guerras ni de la carrera de armamento.","La mayoría de ustedes me conoce.","Otro",FALSE,FALSE
"generalmente","De hecho las únicas mujeres que tienen un lugar social son las prostitutas, <strong>generalmente</strong> mujeres libres, que pagan sus impuestos y que frecuentan los banquetes y polemizan al mismo nivel que los hombres.","Generalmente no salgo los jueves por la tarde.","Otro",FALSE,FALSE
"alguien","Pero por si acaso <strong>alguien</strong> sobrevive -los políticos tie­nen que encargarse de esto-, lo planean a la perfección.","Alguien tendrá que limpiar este desastre. (no se sabe quién)","Carlos es alguien en quien confiar. (se sabe quién)",FALSE,FALSE
"usualmente","Bueno, <strong>usualmente</strong> creemos que los egos son algo intrinseco a nosotros, y que no podemos cambiar.","Usualmente no salgo los jueves por la tarde.","Otro",FALSE,FALSE
"debe","En el caso del hombre, siempre ha sido su fortaleza la creatividad e ingenio para con el medio que lo rodea, tanto así que hoy en día el humano ha perdido sus dotes físicos del pasado (fuerza, velocidad, etc), los que antes poseía con naturalidad y ahora si los quiere <strong>debe</strong> hacer esfuerzos para conseguirlo.","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas.",FALSE,FALSE
"tal vez","Ya <strong>tal vez</strong> luego pueda darse cuenta de la tonteria que se hace al intercambiar libertad por seguridad, y eso seria algo bueno.","Tal vez sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"virtualmente","El sistema perfecto es imposible, no puede haber un sistema eterno que funcione con las sociedades presentes y futuras, ni aún siendo verdad todas las teorías de la conspiración que circulan por ahí, nisiquiera esa gente <strong>virtualmente</strong> todopoderosa podría detener ese cambio.","Es virtualmente imposible cruzar el río.","Yo me comunico virtualmente a través de mi computadora.",FALSE,FALSE
"supongo","¿por que soy asi? pues <strong>supongo</strong> que por varios factores.","Supongo que hay que esperar. (juicio)","Yo no supongo nada para la comunidad. (aportación)",FALSE,FALSE
"bastantes","Pasaron seis meses entra <strong>bastantes</strong> aventuras que no avanzaron mucho mi investigación.","Hay bastantes cosas por hacer.","Otro",FALSE,FALSE
"espero","Bueno antes que nada me presento, me llamo Luciano y desde siempre me ha gustado la filosofía y los debates filosoficos, como mi registración lo indica tengo 16 años y <strong>espero</strong> que esto no sea un obstaculo para el debate y la relación con los demás usuarios, saludos.","Espero que todo salga bien. (posibilidad)","Espero tu respuesta antes del Lunes. (orden)",FALSE,FALSE
"podrias","Me cuestionas a mi, pero para decirme pederasta machista y falocentrico a mi, tambien deberias serlo tu! Pues de lo contrario no <strong>podrias</strong> siquiera afirmar esto:","Podrías considerar otra solución. (posibilidad)","Tú podrías imaginar un mundo sin violencia. (capacidad)",FALSE,FALSE
"raramente","Entre eso y que el método de enseñanza actual <strong>raramente</strong> atrae a nadie.","Raramente ceno en ese restaurante.","Otro",FALSE,FALSE
"aparentemente","La teoría de cuerdas en mi opinión no es ninguna tontería; aunque no se puede negar que tiene cierto carácter especulativo por el hecho de que estamos hablando de distancias de Planck, lo que hace muy difícil o casi imposible la comprobación experimental, sin embargo, existen ciertos modelos matemáticos que describen satisfactoriamente esta teoría aunque llevan a resultados <strong>aparentemente</strong> contradictorios.","Aparentemente habrá un concierto esta tarde. (parece que)","Otro",FALSE,FALSE
"quien sabe","Y <strong>quien sabe</strong> si tal vez solo el enfermo piensa en cosas más saludables y el saludable precisamente en la exuberancia, en lo que corrompe; Pero el saludable no deja de pensar saludablemente y el enfermo - enfermamente.","Quién sabe si esto funcione. (incertidumbre)","¿Quién sabe cómo resolver este problema? (buscando alguien)",FALSE,FALSE
"siento","Simplemente me <strong>siento</strong> contento de pensar libremente y poder compartir ideas con tod@s ustedes y sobretodo me siento contento por que aprendo.","Siento que podríamos trabajar más a fondo. (juicio)","Siento un dolor fuerte en el estómago. (sensación física)",FALSE,FALSE
"confio","pero <strong>confio</strong> porque siempre pense asi","Yo confío en que todo saldrá bien. (posibilidad)","Confío el ciudado de mis hijos a José.",FALSE,FALSE
"raramente","Porque si te tienes que guíar por lo que es rentable y lo que no para que tu empresa funcione, pues encontramos que ayudar a la gente MUY <strong>raramente</strong> va a resultar rentable.","Raramente ceno en ese restaurante.","Otro",FALSE,FALSE
"por decir algo","Solo es un concepto, como Justicia (<strong>por decir algo</strong>), Zeus como divinidad representa bastante bien a la justicia.","Podrías salir a comer, por decir algo. (sugerencia)","Castigaron a Manuel por decir algo ofensivo. (acción)",FALSE,FALSE
"de repente","Se vuelve luminoso y cuando te acercas a el, es una luz.Si te acercas muchoa el - no solo si te acercas fisicamente, sino tambien intimamente - puedes iluminarte y genarte de energia positiva a traves del el.Tu luz apagada puede empezar a arder <strong>de repente</strong>... si te acercas a el.","De repente sentí muchas ganas de jugar futbol.","Otro",FALSE,FALSE
"frecuentemente","Si consideramos los mensajes mediáticos se hace patente que la imagen del hombre sufriendo o recibiendo dolor es harto <strong>frecuentemente</strong> difundida a través de los medios, sin que esto, por tratarse de un hecho tan generalizado, represente ningún tipo de efecto chocante.","Mis padres me visitan frecuentemente.","Otro",FALSE,FALSE
"confio","Cuando el medio cambie, <strong>confio</strong> en que la madre naturaleza nos ayudará a evolucionar.","Yo confío en que todo saldrá bien. (posibilidad)","Confío el ciudado de mis hijos a José.",FALSE,FALSE
"seguramente","supongo que ser iluminado llega al descubrir la ""verdad"" a ver la realidad de la verdad, y despues de eso ""subes de nivel"" xD aunque <strong>seguramente</strong> la verdad para uno para mi sea tan solo supunto de vista, ya que yo tendre que encotnrar mi propia verdad.","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente.",FALSE,FALSE
"relativamente","Personalmente creo que estas clases que organizaciones deben tener un timepo de vida <strong>relativamente</strong> corto, por ejemplo llegado su memento la asociacion de enfermeras negras de EEUU decidio autodisolverse, pues considero que a partir de ese momento su existnecia seria contraproducente en la busqueda de igualdad de derechos.","Esto debería de ser relativamente sencillo.","Otro",FALSE,FALSE
"sugiero","Pero si lo que vas a hacer es arriesgar tu nueva cuenta despreciando la autoridad de Kaerog para alimentar tu pequeño ego te <strong>sugiero</strong> que te arriesgues en cosas mas productivas y no en jugar al ""superhombre"" de una manera tan ridicula en un foro.","Sugiero que esperemos un momento. (juicio)","Sugiero y evoco recuerdos de la infancia al tocar el piano. (indirectamente)",FALSE,FALSE
"podria","De esa forma el sexo <strong>podria</strong> circular mejor, no haría falta pagar a nadie, nunca se llegaría a la explotación.","Esta ruta podría ser peligrosa. (posibilidad)","Yo podría imaginar un mundo sin violencia. (capacidad)",FALSE,FALSE
"tecnicamente","puedes decir que <strong>tecnicamente</strong> siguen teniendolos, pero en la practica, que es al fin y al cabo lo que importa, no los tiene.","Técnicamente no es una respuesta correcta. (estrictamente)","Los resultados del estudio son técnicamente precisos. (de acuerdo a la técnica)",FALSE,FALSE
"tecnicamente","Asimismo era el camino de Jarry cuando desarrollaba su curiosa tesis sobre la anarquía: en el hacer-desaparecer, la anarquía tan sólo puede funcionar <strong>tecnicamente</strong>, con máquinas, mientras que Jarry prefiere el estadio estético del crimen, y sitúa a De Quincey por encima de Vaillant.[xviii]","Técnicamente no es una respuesta correcta. (estrictamente)","Los resultados del estudio son técnicamente precisos. (de acuerdo a la técnica)",FALSE,FALSE
"a veces","El conocimiento nunca es negativo, pero sí puede ser <strong>a veces</strong> el uso que se haga de él.","A veces puedo ser un poco molesto.","Otro",FALSE,FALSE
"quien sabe","O <strong>quien sabe</strong>, quizá y ellos simplemente ""hacen"" cosas que para nosotros son incomprensibles y nosotros somos los que le ponemos la ""etiqueta"" de milagro.","Quién sabe si esto funcione. (incertidumbre)","¿Quién sabe cómo resolver este problema? (buscando alguien)",FALSE,FALSE
"considero","Yo no me <strong>considero</strong> un Dios ni considero que tengo tanto control, yo la verdad me considero un peon mas que tiene como principal funcion conseguir dinero para gastarlo y vivir una vida dentro del sistema.","Yo considero que sería mejor esperar. (juicio)","Considero a Manuel como mi mejor amigo.",FALSE,FALSE
"practicamente","No sé si lo di bien a entender, pero el tabaco en mi opinión sería una de las drogas menos recomendable, pues lo considuro <strong>practicamente</strong> inutil por su relación poco beneficio contra gran poder adictivo, el alcohol es un arma de doble filo cuyos beneficios son más notorios, a pesar del riesgo que esta droga conlleva.","La película es prácticamente una parodia.","Otro",FALSE,FALSE
"se ve","La libertad individual existe de forma subjetiva hasta que <strong>se ve</strong> en conflicto contra otra libertad individual, la libertad social intenta (almenos intenta) que todas las libertades individuales no entren en conflicto mediante un estándar, llámese ""normas"".","Se ve como una propuesta interesante. (juicio)","Su casa se ve desde la colina. (ver con los ojos)",FALSE,FALSE
"pienso","Y dentro de este universo de informacion los <strong>pienso</strong> a cada uno de ustedes y cuando lo hago me doy cuenta de que todos damos risa y todos nos reimos y nos burlamos de todos.","Pienso que hay que esperar. (juicio)","Yo pienso en ti todas las tardes. (acción de pensar)",FALSE,FALSE
"seguro","Podrá usted argumentar,en este caso,que esos criterios son más justos ¿<strong>seguro</strong>?.","El evento seguro será un éxito.","No es seguro caminar por estas calles.",FALSE,FALSE
"supongo","El filosofar <strong>supongo</strong> que es por la negativa de querer desaparecer y que no quede nada de uno, y creo que es bueno filosofar sobre este tema sobre todo si enriquece para poder ser mas llevadero el camino hacia el morir","Supongo que hay que esperar. (juicio)","Yo no supongo nada para la comunidad. (aportación)",FALSE,FALSE
"parece","La cosa es que cuando tomamos una decisión, <strong>parece</strong> que tenemos libertad de elegir, pero realmente jamás podrías haber decido lo que no decidiste.","Me parece que hay que esperar. (juicio)","Te pareces a tu padre en esta foto. (semejanza)",FALSE,FALSE
"bastantes","Al margen de conspiranoias como esa, hay <strong>bastantes</strong> respuestas interesantes.","Hay bastantes cosas por hacer.","Otro",FALSE,FALSE
"seguro","Si todo es posible, creo, no estoy muy <strong>seguro</strong>, que prefiero la continuidad.","El evento seguro será un éxito.","No es seguro caminar por estas calles.",FALSE,FALSE
"un poco","Me referia al hecho de que es <strong>un poco</strong> falta de realismo decir que las drogas en si son neutrales, que depende de quien las use, cuando una mayoria de personas las usa mal.","Es un poco atrevido hablarle de esa manera. (juicio)","Preparé un poco de caldo para la comida. (cantidad concreta)",FALSE,FALSE
"sin duda","La acrobacia economica <strong>sin duda</strong> requiere de cierta habilidad y de cierto ingenio que merece ser reconocido y valorado, ya que el buen uso de una herramienta (desde el punto de vista practico) da buenos resultados cuando se trata de generar riqueza.","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material.",FALSE,FALSE
"ocasionalmente","Y yo no soy fumador (aunque muy <strong>ocasionalmente</strong> haya fumado alguna vez), pero defiendo a los fumadores.","Ocasionalmente visito a mis tíos en España.","Otro",FALSE,FALSE
"particularmente","Servirse de todo lo terrible <strong>particularmente</strong>, de manera gradual, a título de","Esto no es particularmente divertido.","Otro",FALSE,FALSE
"rara vez","La diferencia entre una bestia y un dios, pero las cosas <strong>rara vez</strong> son completamente blancas o negras.","Rara vez ceno en ese restaurante.","Otro",FALSE,FALSE
"alguien","si <strong>alguien</strong> tiene el poder para mover a la gente, puede levantarlos en armas y ordenarles saquear y destruir los bancos.","Alguien tendrá que limpiar este desastre. (no se sabe quién)","Carlos es alguien en quien confiar. (se sabe quién)",FALSE,FALSE
"parcialmente","Yo no pienso eso.En muchos casos la moral de rebaño es el conjunto de reglas éticas y morales que enseña,predica e impone el pastor a un conjunto social(las ovejas) sobre el cual tiene predominio.Pero el pastor puede no seguir o comportarse en su vida de acuerdo a esas normas que enseña y propone,quizá <strong>parcialmente</strong>,ya que algunas otras reglas serían sólo para tomar control sobre los demás y por ende no serían necesariamente dictados de su propia conciencia.","Lo que dices es parcialmente verdadero.","Otro",FALSE,FALSE
"medio","Lo decía <strong>medio</strong> en broma, pero no conozco a nadie así.","Juan está medio loco. (poco específico)","Mi asiento es el de en medio. (centro)",FALSE,FALSE
"creo","<strong>creo</strong> que no tiene nada que ver con un ""individuo"".","Yo creo que hay que esperar. (juicio)","Yo creo en la resurrección de Jesucristo. (creencia)",FALSE,FALSE
"basicamente","Por lo demás el discursito se cae <strong>basicamente</strong> por que has confundido (por enésima vez) iglesia y religión, cuando no son lo mismo y en cierto modo tengo que darte la razón, si hablamos de iglesia lo primero es que son unos interesados y habría que ver cuantos tienen fé de verdad, que se pueden contar con los dedos de las manos.","La película es básicamente una parodia.","Otro",FALSE,FALSE
"seguro","Estoy <strong>seguro</strong> que a ti te gusta la libertad de expresion para los temas que consideras que son opinables sin cortapisas, pero hay que acostumbrase que para otros esos temas son diferentes a los tuyos, y hay que respetarlo si tu quieres ser resprtado.","El evento seguro será un éxito.","No es seguro caminar por estas calles.",FALSE,FALSE
"alguna","Pues yo no soy de ciencias políticas, no sé si habrá <strong>alguna</strong> teoría milagrosa que dé respuesta al enigma, pero yo tengo una relacionada con mi disciplina que podría ser válida.","Alguna pluma habrá caído por la abertura.","Otro",FALSE,FALSE
"algo","Creo que auí encontraras lo que buscas, pues yo buscaba <strong>algo</strong> parecido y lo encontré; gentes diversas, de diversas opiniones aplicadas a temas interesantes del pensamiento y la actualidad; y lo mas importante, grandes argumentadores de sus respectivas opciones.","Su salud es algo delicada. (se desconoce el grado)","Vi que algo se estaba moviendo. (se conoce la situación, no necesariamente los detalles)",FALSE,FALSE
"suena","Bueno agreguen de su cosecha o vean la película, que la verdad está en todos lados, acoto como llegue a la película y exponer la idea al foro estoy interesado en las vibración producidas por los instrumentos de viento, así estaba viendo en mercado libreen instrumentos y apareció un oboe a dije voy a escuchar como suena y entre a youtube, apareció Ennio Morricone - La Mision donde <strong>suena</strong> un oboe, bien luego dije a voy a ver la película para ver en qué momento se produce la música y las imágenes como para entender musicalmente la composición del autor, y claro doy con la idea de que es una analogía a la caverna de platón mas menos, además de plantear el desapego de lo material y miedos, liberarse de la mente y el ego es liberarse del miedo.","Tu idea me suena bien. (juicio)","Las bocinas suenan demasiado fuerte. (sonido)",FALSE,FALSE
"parcialmente","Porque el lenguaje se olvida de sí mismo y sólo un esfuerzo crítico «antinatural» que rompe el flujo del habla y lo paraliza de pronto <strong>parcialmente</strong>, puede ofrecer una concienciación y la ilustración temática de una palabra y de su significado.","Lo que dices es parcialmente verdadero.","Otro",FALSE,FALSE
"seguramente","Así que da igual si la gente decide dedicarse al fornicio o a la matanza, será <strong>seguramente</strong> virtual con un realismo prácticamente completo.","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente.",FALSE,FALSE
"probablemente ","Me imagino que hay personas que muy en el fondo saben que no pueden ser 100% benevolentes, incorruptibles ni nada por el estilo, asi que creo que si vieran que alguien ""le sigue los pasos"" o ""depende de ellos emocionalmente"" y cosas por el estilo <strong>probablemente </strong>se aprovecharian de la persona y de la situacion en algun momento.","Probablemente sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"puede","Creo que hay casos en los cuales es mas facil prestarle atencion a ideas que se basan en evidencia cientifica o empirica, pero lo bueno de la filosofia es que con ella siempre se <strong>puede</strong> ir mas alla que eso.","Esta ruta puede ser peligrosa. (posibilidad)","José puede entrar gratuitamente con su credencial de estudiante. (capacidad)",FALSE,FALSE
"algunos","E incluso puede ser un metodo cientifico en <strong>algunos</strong> niveles como propone el del video.","Algunos dicen que murió ahogado.","Otro",FALSE,FALSE
"supongo","Pues <strong>supongo</strong> que tendrá que ver con nuestra cultura.","Supongo que hay que esperar. (juicio)","Yo no supongo nada para la comunidad. (aportación)",FALSE,FALSE
"puede","Esa es una de las razones por las cuales nos han resultado utiles nuestros prejuicios, porque nos han ayudado a construir maquinas, pero estas maquinas tienen que someterse a una revision constante llamada ""mantenimiento"" porque son vulnerables al cambio, y si no hacemos un uso ""adecuado"" de ellas serian victimas de toda la cantidad de desorden y caos que <strong>puede</strong> llegar a haber en la realidad sin la intervencion de nuestros prejuicios y demandas morales y esteticas.","Esta ruta puede ser peligrosa. (posibilidad)","José puede entrar gratuitamente con su credencial de estudiante. (capacidad)",FALSE,FALSE
"practicamente","Es un mero ejemplo,existen muchas más,aunque ya <strong>practicamente</strong> se han perdido.","La película es prácticamente una parodia.","Otro",FALSE,FALSE
"varios","Has dejado <strong>varios</strong> temas con mensajes interminables como este, y literalmente interminables, porque no los revisas y no reparas en que el copiar y pegar que haces no cabe totalmente en el espacio que se te otorga para opinar.","Tenemos varios servicios disponibles.","Otro",FALSE,FALSE
"suena","Porque <strong>suena</strong> muy políticamente correcto, pero yo no lo creo.","Tu idea me suena bien. (juicio)","Las bocinas suenan demasiado fuerte. (sonido)",FALSE,FALSE
"un poco","Ay!, por suerte o por desgracia me he vuelto más egoísta últimamente en ese sentido, quiero decir, ha dejado de interesarme tanto la política como lo hacía antes y me preocupa más la cuestión del ser humano...pero no me voy a poner a desvariar porque este foro es de anarquismo, no del ser humano, que está <strong>un poco</strong> más arriba.","Es un poco atrevido hablarle de esa manera. (juicio)","Preparé un poco de caldo para la comida. (cantidad concreta)",FALSE,FALSE
"deberias","Creo que tienes un pensamiento demasiado medieval, <strong>deberias</strong> dejar el Age Of Empires y salirte fuera a ver como es la calle, el mundo ha cambiado bastante, vale la pena...","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia.",FALSE,FALSE
"un par","De hecho hoy mismo le he planteado a un eterno currante <strong>un par</strong> de cosas al respecto y me ha dicho: ""¿y qué? aunque así fuera nunca lo vas a saber y aunque lo supieras no puedes hacer nada al respecto.","Tengo un par de sugerencias. (no es clara la cantidad, puede ser mayor a dos)","La tercia vence al par en un juego de póquer. (dos)",FALSE,FALSE
"quiza","Bajo las sucesivas capas que designan al sujeto, al hombre y a la persona, encontramos el núcleo duro, entero, la mónada cuya identidad nada, salvo la muerte -y <strong>quiza</strong> ni eso-, puede quebrar.","Quizá sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"diria","Yo te <strong>diria</strong> Luxfero, que leas ""El existencialismo es un humanismo""","Yo diría que hay que esperar. (juicio)","Mi padre diría que eso está mal. (acción)",FALSE,FALSE
"deberia","A los que denuncian estas prácticas <strong>deberia</strong> consolarles no regocijarse atestiguando vejaciones.","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas.",FALSE,FALSE
"quiza","No lo creo, <strong>quiza</strong> te estés refiriendo a estar satisfecho con tu vida, eso si se puede controlar mas.","Quizá sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"bastantes","No creo haber dicho nunca nada parecido a que conozca la realidad objetiva, así que has debido de leer mal <strong>bastantes</strong> cosas mías para considerar que algo así es propio de mí.","Hay bastantes cosas por hacer.","Otro",FALSE,FALSE
"entiendo","Es lo que <strong>entiendo</strong>, y si lo estoy entendiendo mal necesito una aclaración mejor","Como yo lo entiendo, me quedaré en tu casa mañana. (juicio)","Yo entiendo la tarea de matemáticas. (comprensión)",FALSE,FALSE
"tecnicamente","Esta pregunta se parece mucho a una que ya hice; pero <strong>tecnicamente</strong> no és la misma.","Técnicamente no es una respuesta correcta. (estrictamente)","Los resultados del estudio son técnicamente precisos. (de acuerdo a la técnica)",FALSE,FALSE
"un par","De todas formas, a la religión en occidente aun le quedan <strong>un par</strong> de siglos laaaargos antes de desaparecer.","Tengo un par de sugerencias. (no es clara la cantidad, puede ser mayor a dos)","La tercia vence al par en un juego de póquer. (dos)",FALSE,FALSE
"alguien","Yo pienso algo respecto del ser negativo pero no lo voy a decir, si <strong>alguien</strong> dice algo parecido a lo mejor lo diga.","Alguien tendrá que limpiar este desastre. (no se sabe quién)","Carlos es alguien en quien confiar. (se sabe quién)",FALSE,FALSE
"imagino","Incluso suponiendo (suponiendo mal) que la vida es solo conservacion y reproduccion, esto mismo, MISMO, marca una gran diferencia entre nosotros y el robot mas complejo y mas parecido (tambien me <strong>imagino</strong> como se insemina a un robot).","Imagino que hay que actuar cuanto antes. (juicio)","Imagino un mundo sin violencia. (capacidad)",FALSE,FALSE
"principalmente","Lo animado parece distinguirse de lo inanimado <strong>principalmente</strong> por dos rasgos, movimiento y sensacion,","El orégano se usa principalmente como condimento.","Otro",FALSE,FALSE
"entiendo","Cuando yo no <strong>entiendo</strong> algunas frases de Jvan, simplemente le pregunto.","Como yo lo entiendo, me quedaré en tu casa mañana. (juicio)","Yo entiendo la tarea de matemáticas. (comprensión)",FALSE,FALSE
"propongo","@Jvahn, tan importante como buscar la verdad es alejarse de la ""falsedad"", sería necesario cuantificar el conocimiento para poder determinar en qué casos una cosa es más importante que otra y realmente es algo que no me <strong>propongo</strong>, por eso simplemente lo considero comparable.","Propongo que esperemos unos momentos. (juicio)","Propongo una reforma energética a nivel nacional. / Le propongo matrimonio a mi novia esta tarde. (afirmando una acción)",FALSE,FALSE
"diria","En cualquier caso, lo que hace que triunfe una persona, concluyendo, <strong>diria</strong> que es al margen de si es cualitativamente mejor o peor.","Yo diría que hay que esperar. (juicio)","Mi padre diría que eso está mal. (acción)",FALSE,FALSE
"bastantes","Por lo tanto hay situaciones, no todas, pero sí <strong>bastantes</strong>, en que colaborar es la opción inteligente y se puede demostrar formalmente.","Hay bastantes cosas por hacer.","Otro",FALSE,FALSE
"alguna","Muchas veces sin practica <strong>alguna</strong> se hacen descubrimientos operando sobre la teoria que luego son verificados por la practica mas tarde.","Alguna pluma habrá caído por la abertura.","Otro",FALSE,FALSE
"un par","No tienes por que creerme a mi, aca te pongo <strong>un par</strong> de referencias (solo una cantidad infima, de la inmensidad de publicaciones, papers, libros, etc, que se escribio sobre teoria del caos, sistemas complejos, redes complejas, grafos, sistemas dinamicos, teoria de la informacion, y demas temas relacionados):","Tengo un par de sugerencias. (no es clara la cantidad, puede ser mayor a dos)","La tercia vence al par en un juego de póquer. (dos)",FALSE,FALSE
"espero","realmente no creo que todo el mundo tenga ese impulso, yo no lo tengo, aunque lo tuve, ahora desde que tengo mas conocimientos y se lo que verdaderamente es necesario para mi felicidad, solo deseo controlarme mas a mi y a mi voluntad, el mundo que me rodea cada vez me importa menos y <strong>espero</strong> que siga asi hasta que llegue un punto en el que no me importe nada","Espero que todo salga bien. (posibilidad)","Espero tu respuesta antes del Lunes. (orden)",FALSE,FALSE
"creo","Si existiera tal ser nos pondría a muchos en susitio <strong>creo</strong> yo xD.","Yo creo que hay que esperar. (juicio)","Yo creo en la resurrección de Jesucristo. (creencia)",FALSE,FALSE
"debe","El pobre de Albert te ha repetido 3 veces lo mismo, se <strong>debe</strong> sentir impotente ante tu obstinación.","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas.",FALSE,FALSE
"algunos","Pero no me gusta que estos conceptos sean tomados como las ultimas verdades,porque si bien es cierto se puede ser complaciente con <strong>algunos</strong> se es incomplaciente con otros.","Algunos dicen que murió ahogado.","Otro",FALSE,FALSE
"hay quien","En realidad estoy solo siguiéndole el diálogo a Luxfero, pero en realidad no le obedecería a nadie que use solo el artificio de sus sesos para subyugarme, porque creo que no <strong>hay quien</strong> me venza, si no es antes por mi oratoria será después por mi obstinación que triunfaré.","Hay quien dice que murió ahogado.","Otro",FALSE,FALSE
"necesariamente","Lo cual no significa que uno <strong>necesariamente</strong> quiera darle validez a todas las ""verdades"" que existen.","No necesariamente lloverá esta tarde. (no se sabe con certidumbre)","La política está necesariamente conectada a la economía. (inevitablemente)",FALSE,FALSE
"podrias","Como <strong>podrias</strong> demostrar algo si no es primero diferenciando la verdad de la mentira?","Podrías considerar otra solución. (posibilidad)","Tú podrías imaginar un mundo sin violencia. (capacidad)",FALSE,FALSE
"entiendo","Porque lo que yo <strong>entiendo</strong> por fuerte no es lo mismo que lo que tu entiendes por fuerte.","Como yo lo entiendo, me quedaré en tu casa mañana. (juicio)","Yo entiendo la tarea de matemáticas. (comprensión)",FALSE,FALSE
"raramente","En este país hay pocos que piensen como zapatero, como mucho habrá gente que piense como zapatero dice que piensa, pero sus actos y sus palabras <strong>raramente</strong> se corresponden.","Raramente ceno en ese restaurante.","Otro",FALSE,FALSE
"frecuentemente","A lo mejor no sería así si fuéramos educados fuera de la sociedad humana (en el bosque con algunos animalitos, como Tarzán), pero dado que los lectores imaginarios de este blog han crecido en esta sociedad (porque me da la gana a mí, y porque si no probablemente no sabrían leer), les señalo a todos con el descaro camuflado que <strong>frecuentemente</strong> me caracteriza.","Mis padres me visitan frecuentemente.","Otro",FALSE,FALSE
"parcialmente","Pero esto es muy complicado y <strong>parcialmente</strong> subjetivo, considero que detras de este gran problema están implicados de lleno los gobiernos mundiales, ¿Por qué no ponernos de acuerdo para igualar las condiciones?","Lo que dices es parcialmente verdadero.","Otro",FALSE,FALSE
