hedge,hedge_gold,hedge_gold_reason,sentence,usage1,usage2
"un poco","","","Por mi parte no le tomo interes &amp; de las personas que me he sentido <strong>un poco</strong> atraido, siempre me terminan decepcionando de alguna forma, no me refiero a dentro de una relación, sino por ejemplo sabes que es una chica bondandosa con los animales &amp; tranquila,entonces ella te genera interes, pero te enteras que es prejuiciosa &amp; le gusta generalizar, entonces esa atracción desaparece poco a poco &amp; inclusive puede llegar a desvanecerse, aunque es normal que suceda ello en tan solo una atracción.","Es un poco atrevido hablarle de esa manera.","Preparé un poco de pollo para la comida."
"deberias","","","No, no es gay, y no <strong>deberias</strong> juzgar por las apariencias, las costumbres culturales y sociales de las personas no determinan su sexualidad, por ejemplo los arabes y los rusos se saludan de beso, y no son gays, al contrario para ellos la homosexualidad es abominacion, En escocia los hombres usan falda, en la antiguedad los hombres usaban vestido, eso no es homosexualidad solo son diferencias culturales.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia."
"algunos","","","El finde semana que viene estaré por allí necesito <strong>algunos</strong> accesorios como flash, trípode, softbox y algunas cosas más.","Algunos dicen que murió ahogado.","Otro"
"necesariamente","","","Así pues, es superficial decir que porque supuestamente Wiracocha o Sume, etc, fuesen educadores rubios o barbados que llegaron a estas tierras, <strong>necesariamente</strong> tienen que ser todos ellos nada más y nada menos que Cristo resucitado.","No necesariamente lloverá esta tarde.","La ciencia política está necesariamente conectada a la economía."
"alguno","","","Creo este tema debido a que ya mañana empieza el Rally y porque varios foristas estan emocionados con el Dakar e iran a verlo y de seguro tomaran fotos asi que aqui pueden postearlas para que los que no tuvieron suerte de ir aunquesea lo vean por fotos, por mientras yo no me encuentro en Lima pero tal vez <strong>alguno</strong> de ustedes fue al village y tomo fotos, cuando pase por mi ciudad posteare mis fotos.","Pedro no dejó rastro alguno.","Otro"
"propongo","","","En cuanto a lo del maltrato infantil, <strong>propongo</strong> que en un futuro se aplique multa a quien haga una pregunta así para desprestigiar a quien pide equidad de género.","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"tal vez","","","<strong>tal vez</strong> tuvo problemas en algun reten policiaco o militar y eso lo trae muy herido, su queja principal son la inconstitucionalidad de los retenes, algo le paso...Saludotes mariloli...","Tal vez sea mejor que hablemos con tu familia.","Otro"
"especulo","","","CSKA  : La verdad me hubiera gustado que ganen, especialmente viendo lo mezquino que fue el madrid que <strong>especulo</strong> demasiado.Solo vi el primer tiempo, me parece que en el segundo entro Honda lo cual me parece raro, a lo mejor recien se recupero de una lesion o algo.","Yo especulo que sería mejor esperar.","Yo especulo sobre la teoría política de Marx."
"alguien","","","Puede parecer extemporaneo mi comentario, pero generalmente no dejo de contestar cuando <strong>alguien</strong> se dirige a mi aunque nunca haya sido mi intención interactuar con esa persona.","Alguien tendrá que limpiar este desastre.","Yo soy alguien en quien confiar."
"debe","","","claudia serpa esta vez si canto como <strong>debe</strong> de ser, pero aunque la custionen por ser bonita, deberia mejorar para la proxima","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas."
"alguna","","","Vean a las mujeres indígenas que traen a su chiquillo colgado en la espalda, <strong>alguna</strong> vez los han escuchado llorar?","Alguna pluma habrá caído por la abertura.","Otro"
"deberia","","","Creo que ahora los bancos y financieras reparten sus tarjetas a diestra y siniestra con toda la intención de que no las podamos pagar para ellos hacer ahí su gran negocio cobrando comisiones, moras y gastos administrativos con intereses astronómicos, creo que esto de la tarjeta de crédito se <strong>deberia</strong> de regular para evitar que mucha gente caiga en esto","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"entiendo","","","Precisamente por eso no <strong>entiendo</strong> a que venía eso, porque no veo el conflicto de definiciones por ninguna parte.","Entiendo si no puedes asistir a mi fiesta.","Yo entiendo la tarea de matemáticas."
"quiza","","","ni idea cuanto estará ese modelo, pero de lo que sí estoy seguro es de que cuesta mas de 100 soles, quiza este en un rango de 250-300 soles o <strong>quiza</strong> más, y bueno, eso de como saber si es original o no, la verdad no lo veo necesario, no creo que tu primo estando en usa te regale cosas bambas","Quizá sea mejor que hablemos con tu familia.","Otro"
"algun","","","hay <strong>algun</strong> team formado?","Algún lápiz habrá caído por la abertura.","Otro"
"esencialmente","","","Las mismas acciones siempre generan los mismos resultados, claro quizá con otro aire, otras personas, otras circunstancias, pero <strong>esencialmente</strong> se obtienen los mismos resultados.","La película es esencialmente una parodia.","Otro"
"especulo","","","Mi comentario fue tambien por parte de os rumores extendidos de los ""negocios"" que hacen nuestras fuerzas armadas y el caso del hermano de humala, cuando la prensa <strong>especulo</strong> sobre las ""conversaciones"" de este con algunos militares rusos y se especulo sobre ""faenon""","Yo especulo que sería mejor esperar.","Yo especulo sobre la teoría política de Marx."
"virtualmente","","","Esto es patente en la publicidad y <strong>virtualmente</strong> en cualquier espacio de la sociedad de consumo en la que vivimos.","Es virtualmente imposible cruzar el valle caminando.","Yo me comunico virtualmente a través de mi computadora."
"particularmente","","","También estamos a favor de que todo joven mexicano, <strong>particularmente</strong> los de pobreza extrema, tenga derecho y acceso a un par de tenis Louis Vuitton de 12 mil pesos.","Esto no es particularmente divertido.","Otro"
"gran parte","","","La Fundación Vicente Ferrer lleva a cabo su labor humanitaria en el estado de Andhra Pradesh y presta ayuda a más de 2,5 millones de personas en la región de Ananatapur, gracias en <strong>gran parte</strong> a los 155.000 socios que tiene en España","Una gran parte de ustedes me conoce.","Otro"
"usualmente","","","Pero <strong>usualmente</strong> a carro lleno, si dices que estaba vacio seguro queria algo.","Usualmente no salgo los jueves por la tarde.","Otro"
"aparentemente","","","Y no, no creo que por mas pensar sea malo, si no lo contrario, cuando piensas mas, encuentras mas respuestas, y mas explicacion a la vida, que a veces la entidad antes <strong>aparentemente</strong> invisible llamada sociedad, le vas encontrando sentido.","Aparentemente habrá un concierto esta tarde.","Otro"
"parcialmente","","","yo para credito de estudios obtuve tengo una TCEA de 10.5% que ya la pague, ahora <strong>parcialmente</strong> compre un auto con una TCEA de 9.5%.","Lo que dices es parcialmente verdadero.","Otro"
"diria","","","EN relacion calidad precio <strong>diria</strong> que el Nexus4...lo malo es que no se consigue asi nomas","Yo diría que hay que esperar.","Mi padre diría que eso está mal."
"bastante","","","Aca encontre unos videos por accidente en el youtube que trata de los derechos humanos, es en buena cuenta algo <strong>bastante</strong> similiar a lo que pienso y ya habai publicado, asi que me gustaria compartirlo con ustedes a ver que opinan:","Hay bastante trabajo por hacer.","Otro"
"poco","","","<strong>poco</strong> grave la situacion y me he kedado misio y lo que voy a conseguir esta semana es para","Sería poco prudente hablarle de esa manera.","Hay poco entusiasmo en el público."
"tecnicamente","","","Las pantallas de Plasma poseen la mayor calidad de colores, de contraste (la mayor reproducción del color negro) y de tiempo de respuesta asi que <strong>tecnicamente</strong> seria el mas adecuado para jugar con una consola sin embargo ya hemos visto sus puntos en contra, la pantalla necesariamente será vidriada lo que produce reflejos del ambiente en lugares iluminados y existe la remota posibilidad de ""pantalla quemada"" que consiste en que al mostrar imágenes por un tiempo prolongado estas quedaban literalmente ""grabadas"" en la pantalla, algo asi como una huella...","Técnicamente no es una respuesta correcta.","Los resultados del estudio son técnicamente precisos."
"asumo","","","He sido torpe (una vez más) y lo <strong>asumo</strong>.","Yo asumo que me darán un aumento.","Yo asumo la posición de director."
"considero","","","dicen que tenian meses planeandolo y la propia ingrid dice que al ver que llego el helicoptero por ellos y vio como se hablaban y trataban los terroristas y los convencieron de que iban a trasladarlos a otro lugar - que dicen era frecuente este cambio- hasta ella misma los <strong>considero</strong> terroristas y al final al tumbar al ""cesar"" ella penso que se habia caido y no, es que el pseudoterrorista ( que en realidad era del ejercito de colombia) lo habia maniatado de pies y cabezas y les dijo "" somos del ejercito colombiano estan libres ""","Yo considero que sería mejor esperar.","Considero a Manuel como mi mejor amigo."
"seguido","","","<strong>seguido</strong> de arresto domiciliario","Mis padres me visitan muy seguido.","Otro"
"esencialmente","","","En ésta, en efecto, el proceso ascético de formación de un sujeto <strong>esencialmente</strong> pensante, el ego cogitans, desea convivir con la perspectiva de un verdadero ser humano æcomo lo llama Descartesæ corporalmente comprometido y pendiente ya no tanto de la verdad como de la utilidad y felicidad que las cosas pueden reportarnos si acertamos a tomarlas con sabiduría.","La película es esencialmente una parodia.","Otro"
"diria","","","Ben Stiller, no cuenta y Joe Black, la verdad no es un Actor de Comedia propiamente dicho y salvo la ""Escuela del Rock"" no tiene otra obra notable <strong>diria</strong> yo","Yo diría que hay que esperar.","Mi padre diría que eso está mal."
"algun","","","Otra cosa gente, no quemen galeria jardin, hoy en dia uno los compra tranqui ahi, dentro de poco x culpa de clarin o <strong>algun</strong> otro medio de mierda, a alguien le va a caer la ficha y va a decidir hacer ilegal el nitrito de isopropilo...","Algún lápiz habrá caído por la abertura.","Otro"
