hedge,sentence,usage1,usage2
"hay quien","<strong>hay quien</strong> trata a los demás como objetos, se les olvida que ""arrieros","Hay quien dice que murió ahogado.","Otro"
"puede","usa muy bien su publicidad del magnesol antes decía cura ahora la cambio a puede curar o <strong>puede</strong> evitar de esa manera ya la puede barajear.","Esta ruta puede ser peligrosa.","José puede entrar gratuitamente por ser un estudiante."
"algo","Consideró que no es <strong>algo</strong> que pueda tomarse a la ligera.","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"suena","Se dieron cuenta de como <strong>suena</strong> la cabeza del pata en el min 0:35?, y no hace ni m........... las ventajas de ser muy grande","Tu idea me suena bien.","Las bocinas suenan demasiado fuerte."
"un poco","Seria bueno que estudien un poco acerca de los incoterms, <strong>un poco</strong> de seguro de transporte y algo de procedimiento aduanero para que no sean engañados.","Es un poco atrevido hablarle de esa manera.","Preparé un poco de pollo para la comida."
"bastantes","En su caso...sigo esperando...su respuesta de que en que basa su creencia de que no existe dios...Pero veo que su alto umbral de pendejez...no le da mas que para decir que ya ve <strong>bastantes</strong> pendejos..y aunque se le comprende..","Hay bastantes cosas por hacer.","Otro"
"por decir algo","Digo <strong>por decir algo</strong>.","Podrías salir a comer, por decir algo.","Castigaron a Manuel por decir algo ofensivo."
"necesariamente","las maquinas no <strong>necesariamente</strong> tienen desgaste cada año ó dos, eso es ser demaciado pesimista, se supone que cada 6 meses se tiene que dar su mantenimiento preventivo,actualizacion de windows,y otros factores,lo que si de hecho se desgasta son los teclados,mause y audifono(para esto la mejor solución son los parlantes que te dura para siempre)","No necesariamente lloverá esta tarde.","La ciencia política está necesariamente conectada a la economía."
"hay quien","Incluso <strong>hay quien</strong> relacionas estos acontecimientos con la telepatía.","Hay quien dice que murió ahogado.","Otro"
"reducido","quedó medio <strong>reducido</strong> a astillas, volcado y cruzado barreando el puente.","El espacio para convivir es reducido.","Los fondos para el arte se han reducido."
"aparentemente","¿<strong>aparentemente</strong> más atractivos?","Aparentemente habrá un concierto esta tarde.","Otro"
"creo","No <strong>creo</strong> que sea pecado.","Yo creo que hay que esperar.","Yo creo en la resurrección de Jesucristo."
"virtualmente","Por qué <strong>virtualmente</strong>.","Es virtualmente imposible cruzar el valle caminando.","Yo me comunico virtualmente a través de mi computadora."
"raramente","La Aurora <strong>raramente</strong> se encuentra por debajo de los 60 kilómetros, y puede extenderse hasta los 1000 kilómetros de altura.","Raramente ceno en ese restaurante.","Otro"
"tecnicamente","<strong>tecnicamente</strong> en los colegios del cono norte se ah vuelto algo asi","Técnicamente no es una respuesta correcta.","Los resultados del estudio son técnicamente precisos."
"quien sabe","Ahora que eso sea cierto <strong>quien sabe</strong>.","Quién sabe si esto funcione.","¿Quién sabe cómo resolver este problema?"
"practicamente","Y yo les respondí que Japon salio de la edad media en el año de 1860 y 70 años después le declaro la guerra a USA donde <strong>practicamente</strong> salieron destruidos y 60 años después son lideres en tecnología de todo tipo...... Porque ellos si... y nosotros no??","La película es prácticamente una parodia.","Otro"
"tal vez","La cuestión es que yo no veo la solución en partir de cero, en destruir el sistema que creo que teóricamente está bien enfocado pues tiene en cuenta tanto el potencial positivo del ser humano como también el negativo (el cual es la causa por la que no creo en la anarquía, pues os olvidais de ésta faceta humana), <strong>tal vez</strong> la solución esté por llegar, pero la veo más cercana en base a una modificación que no a una aniquilación del sistema democrático","Tal vez sea mejor que hablemos con tu familia.","Otro"
"mas o menos","Ya imaginamos el mundial sub 17 así que ye tenemos <strong>mas o menos</strong> una idea de como es eso...","Me dijeron más o menos qué tengo que hacer.","Usa más o menos azúcar de acuerdo a tu gusto."
"relativamente","En México el efectivo es <strong>relativamente</strong> fácil de lavar, dicen los funcionarios de coacción de la ley.","Esto debería de ser relativamente sencillo.","Otro"
"bastante","Sin embargo, ok, no me gustó como estaba vestido, es <strong>bastante</strong> chinchoso, a mucha gente le cae mal, creo que hizo una versión muy personal, a mi me gustó, pero no me encantó.","Hay bastante trabajo por hacer.","Otro"
"aparentemente","<strong>aparentemente</strong> no son MD pero la verdad se sentia como que si lo fuera, es raro.","Aparentemente habrá un concierto esta tarde.","Otro"
"basicamente","<strong>basicamente</strong> establecía los límites marinos entre Nicaragua y Colombia, y donde se le ""regaló"" la Costa de Mosquitos a Nicaragua, tomando en cuenta que Nicaragua nunca tuvo soberanía en ninguna de las islas del archipiélago de San Andrés, Providencia, Santa Catalina islas de Roncador y Quitasueño ni en sus respectivos mares...y que ahora quiere reclamar para sí...sin mencionar la plataforma continental...","La película es básicamente una parodia.","Otro"
"multiples","y el pri esta muy calladito he ?. y los <strong>multiples</strong> grupitos en espera de que ?","Tenemos múltiples servicios disponibles.","Otro"
"deberia","El tema trata de los más sobrevalorados de Yo soy; pero alguien <strong>deberia</strong> también hacer una lista de aquellos imitadores que sí dieron la talla en todas las temporadas.","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"poco","Con respecto a tus dientes, probablemente lo que tengas son ""grietas"" mínimas a nivel del esmalte que no necesariamente están ligadas a tu dieta; más que probable se deba a un problema en tu oclusión dentaria, es decir, que al masticar, cerrar la boca con fuerza, etc. tus dientes estén recibiendo una fuerza excesiva que hacen que poco a <strong>poco</strong> su esmalte se pueda rajar mínimamente, o quizás estés masticando alimentos duros, o tengas algunos hábitos con la boca (ej: morder lapiceros, morderte las uñas, etc.) que estén ocasionando este problema; así que habría que evaluar eso y corregir la causa.","Sería poco prudente hablarle de esa manera.","Hay poco entusiasmo en el público."
"encuentro","El <strong>encuentro</strong>, válido por el Grupo C, cerró la primera jornada de la competencia el miércoles 18 de septiembre.","Lo encuentro un poco cuestionable.","Me encuentro en casa de María."
"tecnicamente","Existe distinta frecuencia en corriente alterna y, no tengo claro por qué, lo hace <strong>tecnicamente</strong> complejo.","Técnicamente no es una respuesta correcta.","Los resultados del estudio son técnicamente precisos."
"usualmente","-La probabilidad de obtener obediencia,<strong>usualmente</strong> descansa en alguna""fe de legitimidad""de la orden y del que ordena por parte del destinatario de ésta...","Usualmente no salgo los jueves por la tarde.","Otro"
"imagino","No sé cuanto ganará, pero <strong>imagino</strong> que ha de ser dependiendo donde trabajes.","Imagino que hay que actuar cuanto antes.","Imagino un mundo sin violencia."
"tal vez","<strong>tal vez</strong> si, pero yo personalmente creo que no, es algo introducido por la vida, por el ser.","Tal vez sea mejor que hablemos con tu familia.","Otro"
"ocasionalmente","La llevé a la cama el mismo día que la conocí (para que vean sus hábitos sexuales), por cosas del destino nos seguimos viendo <strong>ocasionalmente</strong> para tirar, hasta que años después se mudó a Lima y el asunto pasó a mayores.","Ocasionalmente visito a mis tíos en España.","Otro"
"aproximadamente","Enrique Torres Belón, Lampeño y queredor de su pueblo, todas la paredes están cubiertos con restos óseos de <strong>aproximadamente</strong> mil personas, todas las osamentas fueron extraídas del atrio lo que antiguamente fue cementerio parroquial.Las paredes que cierran este novedoso conjunto es puro mármol negro lo que brinda tremenda elegancia y respeto.","La pared mide aproximadamente 15 metros.","Otro"
"bastantes","Pero es que aquí, me temo, que el discurso violentista (supongo que será: ""que incita a la violencia"") lo practicas más tú que los chilenos que conozco y conozco a <strong>bastantes</strong>.","Hay bastantes cosas por hacer.","Otro"
"encuentro","Otra cosa que no le <strong>encuentro</strong> explicación es a la tardanza de la policía en asegurar una escena del crimen, admito que no soy perito, pero es de sentido común pensar que después de 5 horas se pueden alterar las evidencias.","Lo encuentro un poco cuestionable.","Me encuentro en casa de María."
"necesariamente","Hablaba del respeto a las ideas, decía que respetar ideas ajenas, no <strong>necesariamente</strong> es lo correcto, al respetar todas las ideas, se cae en un relativismo tan grande que podríamos terminar aceptando cosas que no son correctas.","No necesariamente lloverá esta tarde.","La ciencia política está necesariamente conectada a la economía."
"entiendo","Y <strong>entiendo</strong> perfectamente a Regísima.","Entiendo si no puedes asistir a mi fiesta.","Yo entiendo la tarea de matemáticas."
"esencialmente","Pasaba por ser, en tercer lugar, <strong>esencialmente</strong> incesante (recorriendo por su propia virtud una órbita recta o en forma espiral).","La película es esencialmente una parodia.","Otro"
"no se","<strong>no se</strong> que sentir","No sé si sea la mejor idea.","Esto no se puede hacer en menos de una hora."
"un poco","1) mi humor es un poco frio y enfermo junto con otras cosas que me hacen frio pero <strong>un poco</strong> loco","Es un poco atrevido hablarle de esa manera.","Preparé un poco de pollo para la comida."
"quiza","Creo que este tema es mas de juegos... <strong>quiza</strong> deberia estar mejor ahi xd","Quizá sea mejor que hablemos con tu familia.","Otro"
"sin duda","No saldrá vivo <strong>sin duda</strong>.","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material."
"quien sabe","La chacota es aparte, y dicho sea de paso, algunos de plano rayan en el plan mediocre, pero bueno, se entiende que ese es ""el plan"" y cada <strong>quien sabe</strong> si le sigue o se da la vuelta.","Quién sabe si esto funcione.","¿Quién sabe cómo resolver este problema?"
"medio","“Fue un recorrido apoteósico… Unas mulas eran nuestro <strong>medio</strong> de transporte en grandes partes del camino”, señala Eduardo Marcuzzi, argentino: “Pues nos tomó cerca de dos días llegar a la zona más alta de lugar, La Puna de Ticllaymarca”.","Juan está medio loco.","Mi asiento es el de en medio."
"raramente","Mark Hannegan había dado la vuelta al continente asiático por mas de 1 década, buscando a la gran bestia blanca de la que tanto se había oído hablar, pero ni con los años de experiencia que tenía había podido dar caza al asesino de hombres, al diablo mismo como muchos tildaban o simplemente al gran tigre blanco de la India, magnifico especimen casi mitológico, <strong>raramente</strong> visto y que era el sueño de todo cazador de la época.","Raramente ceno en ese restaurante.","Otro"
"la mayoria","Yo, como tú, también fui católico –por nacimiento- y como <strong>la mayoria</strong> de todos ellos.","La mayoría de ustedes me conoce.","Otro"
"debe","Es como el doc en su tema de el seguimiento economico habla ahora si de obama esto obama alla, pero en lo obamazos no lo bajo de negro mulato, solo cunado les conviene entonces si es como <strong>debe</strong> de ser","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas."
"practicamente","Sólo existe una diferencia en la formulación de la misma por parte del ateo, pues en vez de afirmarse, como haría un buddhista, que la Nada Absoluta es la Verdad, se afirma que nada es una verdad absoluta, lo cual conlleva decir <strong>practicamente</strong> lo mismo pero con un énfasis atenuado.","La película es prácticamente una parodia.","Otro"
"practicamente","El perro-tlaconete <strong>practicamente</strong> volvió a nacer cuando aprendió que después de un signo de puntuación va un espacio.","La película es prácticamente una parodia.","Otro"
"siento","todo es un desastre me <strong>siento</strong> vacío","Siento que podríamos trabajar más a fondo.","Siento un dolor fuerte en el estómago."
"aproximadamente","A fines de 1982, <strong>aproximadamente</strong>, el espectro de la VHF (Very High Frecuency) comenzó a llenarse.","La pared mide aproximadamente 15 metros.","Otro"
"un par","<strong>un par</strong> de flashes tipo perdida de nocion del tiempo... y eso mezclado con que mis amigos no se quedaban quietos.. era como que todo se teletransportaba..","Tengo un par de sugerencias.","La tercia vence al par en un juego de póquer."
"mas o menos","<strong>mas o menos</strong> asi esatn las probabilidades...","Me dijeron más o menos qué tengo que hacer.","Usa más o menos azúcar de acuerdo a tu gusto."
"diria","Saludos a todos, desde aca la tierra que atrapo al sol y como <strong>diria</strong> un slogan de un anterior municipe.....Mexicali en movimiento, pero completito llevamos alrededor de 39 temblores en todo el dia...estamos todos bien, salvo el sustillo del momento, porque aunque tengo casi 34 añitos viviendo aqui y sabemos que es zona sismica, nunca se habian presentado como estos, tan seguidos y medio fuertes, sobre todo que vienen combinados, trepidatorios y oscilatorios, en la tienda como tenemos ramos colgados en la pared, se mueven mucho y los vidrios de los aparadores y de la vitrina, que dicho de paso es muy grande y esta llena de cositas de cristal (copas, lazos y rosarios).","Yo diría que hay que esperar.","Mi padre diría que eso está mal."
"propongo","Yo tampoco quiero ser admin, personalmente <strong>propongo</strong> a Denzil, me lo imagino como una persona serena y formal, que hará lo correcto cuando se requiera.","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"seguido","Hola, tengo 20 años mi contextura hace 2 años era delgada y ahora en estos ultimos 2 años mi apetito se ah incrementado (50% mas de lo que comia hace un par de años en toda comida) todo comenzo cuando comenze a comer mas <strong>seguido</strong> comidas chatarras amburgesas chaufas golosinas sobre todo en las noches, casi no hago ejercicios tengo una vida sedentaria ademas ultimamente eh estado teniendo un pequeño dolor en la columna y ganando mas panza quiero cambiar todo esto, quisiera que me aconsejen por donde empezar que rutina de ejercios hacer, que dieta, que vitaminas consumir estoy decidido al cambio.","Mis padres me visitan muy seguido.","Otro"
"basicamente","<strong>basicamente</strong> lo que pides es que te demos ideas para hacer y ganar dinero con ellas.","La película es básicamente una parodia.","Otro"
"especulo","Ah si se la agarro cuando era chibola también se <strong>especulo</strong> que estaba con otras cantantes famosas","Yo especulo que sería mejor esperar.","Yo especulo sobre la teoría política de Marx."
"parece","En cualquier caso, independientemente de la mayor o menor fuerza que pueda tener una intepretación erasmista del Quijote, <strong>parece</strong> claro que la interpretación erasmista tiene conexiones muy fuertes con una determinada idea de España.","Me parece que hay que esperar.","Te pareces a tu padre en esta foto."
"parcialmente","La única sobreviviente ha sido La negra, una perrita que sufrió la agresión hace más de 20 días y que logró llegar a su hogar, donde su dueña descubrió que tenía la cola pelada, su vagina <strong>parcialmente</strong> destrozada y cortadas en las patas.","Lo que dices es parcialmente verdadero.","Otro"
"propongo","no te basta el 350% (minimo) de aumento en el trafico y consumo desde que ""se les declaro la guerra"" hace pocos años en Leon Guanajuato? es EVIDENTE que hay que arrebatarle el incentivo economico al trafico de drogas para poder vencerlo, mientras tanto por cada cabeza que se le corte al monstruo le naceran tres, estoy consciente del daño hecho al pais y ante la tumba de mi hermano que murio combatiendolo jure hacer algo al respecto, puede ser que no lo logre pero morire intentandolo, lo de que los EU estan atras de la prohibicion no es cuestion de percepciones es un HECHO HISTORICO documentado desde que la Dupont se opuso a la produccion de cañamo, es alli donde puede fracasar la propuesta de Cirigo como fallo la de Fox, si Mexico no es el paraiso de los drogos, si es (o era) el de los narcotraficantes, yo no estoy en contra de la guerra contra el narco ni a favor de la legalizacion solo <strong>propongo</strong> abrir un frente mas de combate: EL MERCADOLOGICO y para eso es necesario (y bastante sencillo) que el estado derrote comercialmente al narcotrafico y monopolice la distribucion y venta, para eso es necesario hacer 36 reformas a leyes y tratados internacionales, ojala viva para verlo, por lo pronto me conformo con que se abra el debate y se combata la desinformacion de tanta gente a la que se les ha lavado el cerebro y no solo son incapaces de pensar por si mismos sino que se cierran a discutir nuevas estrategias ante el mas que EVIDENTE FRACASO de una supuesta guerra diseñada para enriquecer a los narcos.","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"parece","00s me <strong>parece</strong> tiene mas tendencia a revivir algo de los 70s y 80s.","Me parece que hay que esperar.","Te pareces a tu padre en esta foto."
"aparentemente","Una tal señorita ""Paty"", <strong>aparentemente</strong> asistente de la directora, tomó mis datos.","Aparentemente habrá un concierto esta tarde.","Otro"
"alguna","<strong>alguna</strong> vez le pregunte al chino chifero del barrio donde naci, por las dimensiones del plato fue su respuesta.","Alguna pluma habrá caído por la abertura.","Otro"
"creo","esa no <strong>creo</strong> que sea chola power, y si lo es, es FALSA, porque son siliconasas, A KAREN DEJO tampoco la considero chola power, porque esta formadita, pero es chikita, tiene un cuerpo normal.","Yo creo que hay que esperar.","Yo creo en la resurrección de Jesucristo."
"puede","Deberias ver màs series con argumentos màs serios y ricos, como Monter, 20th century boys, Aria, Kaiba, etc. Digo, el hype por recien descubrir el anime <strong>puede</strong> hacerte hablar por hablar.","Esta ruta puede ser peligrosa.","José puede entrar gratuitamente por ser un estudiante."
"usualmente","Que son muchas y <strong>usualmente</strong> bien despachadas =D..","Usualmente no salgo los jueves por la tarde.","Otro"
"practicamente","México <strong>practicamente</strong> no obtiene ganancias de la exportación del petróleo.SE me va adecir, seguramente, que no saben administrarlo, que son unos corruptos,etc.Vale, pero es esa la única razón de que ese Estado, que sí es eutáxico, ami juicio, sea considerado como ""inferior"" a EEUU?, lo digo, porque en el EEUU de Bush Jr. hay mucha corrupción..se habla de cleptocracia o de democracia cleptómana.Hasta en la presna española se hacen eco de las dificultades de Bush ara seguir manteniendo el voto..¿se estarán hartando de esa cleptocracia?.","La película es prácticamente una parodia.","Otro"
"particularmente","Nuevamente el carácter religioso se involucra dentro del mundo realista que se creó en la segunda mitad del juego, <strong>particularmente</strong> considerando que Ark es una metáfora del Arca de Noé, a través del cual la humanidad encuentra su redención y salvación.","Esto no es particularmente divertido.","Otro"
"relativamente","Pues la hemofilia es una enfermedad <strong>relativamente</strong> tratable.","Esto debería de ser relativamente sencillo.","Otro"
"parece","bueno falta cultura y educacion por parte de los cobradores, dar boletos y tener buena memoria,no es para tanto contestar mal no me <strong>parece</strong> bueno aveces la memoria falla pero claro hay cobradores que se quieren pasar de vivos pero no gastemos el higado.=)","Me parece que hay que esperar.","Te pareces a tu padre en esta foto."
"varios","Como te dije, no es lo mismo, tu caso parece mas ""complicado"" por asi decirlo, pero por ahi te deja mas tranquilo saber que a <strong>varios</strong> nos pasó bajo ciertas circunstancias y nunca fue un problema mayor, solo un susto pasajero.","Tenemos varios servicios disponibles.","Otro"
"esencialmente","Ha sido desde hace mucho tiempo considerada como uno de los elefantes blancos del gobierno federal, una planta <strong>esencialmente</strong> saboteada desde el principio por dificultades presupuestales y técnicas y las caprichosos suministros del río Colorado.","La película es esencialmente una parodia.","Otro"
"de repente","<strong>de repente</strong> tu papi conoce alguien que necesite un Mensajero Administrativo....Te sugiero que con tu sueldo estudies algo que verdaderamente te guste","De repente sentí muchas ganas de jugar futbol.","Otro"
"algunos","¿existen los duentes sólo por el hecho que <strong>algunos</strong> creen que existe?","Algunos dicen que murió ahogado.","Otro"
"quien sabe","algo de mi padre si su buena forma de ser fisicamente no tanto por ahora, pero mas adelante talves me paresca, <strong>quien sabe</strong>.","Quién sabe si esto funcione.","¿Quién sabe cómo resolver este problema?"
"sugiero","Si se resisten a eliminar el pensamiento combi y se les antoja poner música, <strong>sugiero</strong> que sea Chillout.","Sugiero que esperemos un momento.","Sugiero y evoco recuerdos de la infancia al tocar el piano."
"de repente","<strong>de repente</strong> se podría venir un homenaje al finalizar la temporada.","De repente sentí muchas ganas de jugar futbol.","Otro"
"deberia","Así que, si todo va como lo dicta la lógica, Argentina estaría en cuartos, en donde el posible rival saldría de estos 4: Alemania (poco probable porque <strong>deberia</strong> ser el primero), Rusia, Bélgica (Corea) o Portugal (ojalá se diera para ver a Messi y Cristiano en un mundial enfrentarse).","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"supongo","No sé lo filosófico que se considerará ese dicho común, pero <strong>supongo</strong> que podrá tratarse filosóficamente.","Supongo que hay que esperar.","Yo no supongo nada para la comunidad."
"sugiero","Le <strong>sugiero</strong> utilice su cerebro para discernir entre la buena y mala información.","Sugiero que esperemos un momento.","Sugiero y evoco recuerdos de la infancia al tocar el piano."
"alguien","los unicos que podrian darse el lujo de no trabajar, creo,,,,,,son la familia real inglesa por ejemplo, al igual que otras monarquias similares,,,,,,,pues cada subdito britanico, de su sueldo tiene que tributar a la corona un porcentaje,,,,,,,aqui en Perumanta no hay eso, salvo de <strong>alguien</strong> que haya heredado propiedades y gane con los cobros de alquiler mensual,,,,he visto gente que se gana asi la vida viviendo y comiendo echao","Alguien tendrá que limpiar este desastre.","Yo soy alguien en quien confiar."
"quiza","Curiosamente, Arístegui es un político profesional, y <strong>quiza</strong> aquí podemos comprobar cómo el canon o modelo político de la división de poderes tipo Montesquieu es ahora ya insuficiente, pues hay una situación tal de confrontación entre Estados, que lo que a mi juicio sólo podemos entender lo que hay en cuanto a la yihad y sus estrategias (ataques bajo la coartada de los comics sobre Mahoma)si vemos que hay una capa cortical (musulmanes del mundo ""uníos"" bajo la pauta del Corán y Alá atacando ahora con estas manifestaciones que son una auténtica intifada en Europa y en su ortograma con ayuda de la bomba atómica iraní, si la logra fabricar) que busca romper fronteras, es decir, atacar el orden actual,vía la islamización de Europa.","Quizá sea mejor que hablemos con tu familia.","Otro"
"la mayoria","O que el PP es un partido democráta cuando se ríe con Barcenas y la bandera de España de los derechos de <strong>la mayoria</strong> de los españoles hasta obviando que la emigración española hacia Europa no tiene nada que ver con sus decisiones políticas ni con las de sus antecesores.","La mayoría de ustedes me conoce.","Otro"
"a veces","Por mi parte <strong>a veces</strong> cuando se escucha más distorsión me gusta más","A veces puedo ser un poco molesto.","Otro"
"la mayoria",", se que acá <strong>la mayoria</strong> esta contra de la homosexualidad, y es evidente por sus respuestas sin sentido y memes idiotas , pero aquí no esta solo en juego los derechos gay, sino también el de la mujer, los niños y hasta la dignidad humana, prácticamente el trafico y esclavitud en ese país es legal,y al dictarse este tipo de ""opiniones políticas"" se pone en riesgo los derechos de esta nación golpeada por la violencia","La mayoría de ustedes me conoce.","Otro"
"de repente","Luego vino el tema de la locura, sobre lo que ahora quiero añadir algo que <strong>de repente</strong> recuerdo y traigo a colación, para la reflexión de todos.","De repente sentí muchas ganas de jugar futbol.","Otro"
"alguno","<strong>alguno</strong> escucho hablar?","Pedro no dejó rastro alguno.","Otro"
"considero","Porque me llamo ricardo...y 2. Porque soy fan del rey ricardo corazon de leon que enfrento a sladino en las cruzadas, de hecho lo <strong>considero</strong> un gran personaje y cuya nobleza, valor, grandeza y temple casi estan a la altura del heroe de mi patria: Don Miguel Grau Seminario!!!","Yo considero que sería mejor esperar.","Considero a Manuel como mi mejor amigo."
"confio","al parecer seguirá la baja por las vísperas de las elecciones, pero se va a recuperar, no pienso vender todavía, quizas pueda reemplazar unas cuantas por mineras junior pero no me <strong>confio</strong> de esas mineras junior porque son proyectos que aun no estan en explotación.","Yo confío en que todo saldrá bien.","Confío el ciudado de mis hijos a José."
"particularmente","Ya en el siglo XIX, durante y después de la llamada Guerra de Castas, se establecieron las haciendas henequeneras en una escala más amplia en todo Yucatán, <strong>particularmente</strong> en la región centro norte, cuyas tierras tienen la vocación para el cultivo del henequén.","Esto no es particularmente divertido.","Otro"
"podria","Faltarian los analisis palinologicos de Caral para ver exactamente el tipo de plantas y las especies de las mismas que habia en la zona a o largo del tiempo y de ellas extraer la poblacion que podia mantener el territorio y el clima, tambien se <strong>podria</strong> haber sobreexplotado el terreno agricola y haberlo arruinado y/o salinizado..","Esta ruta podría ser peligrosa.","Yo podría imaginar un mundo sin violencia."
"reducido","Ceren Kestirengoz y Cansu Cetin <strong>reducido</strong> la diferencia a 15-13, pero Rodríguez salieron de la derecha para anotar con un remate judicial cruz.","El espacio para convivir es reducido.","Los fondos para el arte se han reducido."
"medio","De las coronas, tambien de las curaciones de los dientes picados que tengo (14! aggggg) y pues de una ortodoncia de los dientes de abajo (los 4 delanteros que andan <strong>medio</strong> chuekiños).","Juan está medio loco.","Mi asiento es el de en medio."
"deberia","en realidad para que la TV peruana eleve su nivel, <strong>deberia</strong> de subsistir de otra cosa que no sea la publicidad... decir, yo tengo mas rating, es decir YO VENDO MAS.... y la basura, lamentablemente... vende","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"seguramente","<strong>seguramente</strong> algo de ti quería salir esa noche salir a pasear por hay sabiendo que esta atrapado dentro de ti para siempre, a mi me gusta ver una película de terror por la noche, mi psiquiatra me dijo que eso me ayuda a sentirme bien con lo que quiero, la verdad me dijo algo diferente hace un año pero yo entendí algo asi...","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente."
"seguro","Yo no pedi que cierren tu tema, <strong>seguro</strong> no lo harán, aunque es probable que te vuelvan a banear de todos modos, no te cansas de regresar?","El evento seguro será un éxito.","No es seguro caminar por estas calles."
"suena","Chantaje o no, la idea <strong>suena</strong> bien.","Tu idea me suena bien.","Las bocinas suenan demasiado fuerte."
"propongo","PD: <strong>propongo</strong> que los perdedores le paguen el 1/4 de pollo a la brasa a los ganadores que dicen","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"multiples","Y no estoy hablando solo de racismo, sino de <strong>multiples</strong> situaciones que no tienen nada que ver con ello pero en las cuales se usan pretextos para ocultar los verdaderos motivos, desenmascararlos no es ningun sintoma de acomplejamiento.","Tenemos múltiples servicios disponibles.","Otro"
"generalmente","Mira, yo lo que noto de diferencia es que las 25i son mucho mas potentes, pero no por eso me gustan mas, la ultima pepa de LSD que tome fue en año nuevo y lo que noto cuando salgo con amigos y colamos es que pegamos una coneccion terrible, las noches son un estallo minuto tras minuto, todo es risa, me dejan re bien para hablar con gente que no conozco, me siento tranquilo por asi decirlo, alucinaciones con LSD tuve pero no muy grandes, y <strong>generalmente</strong> tuve que tomar bastante para alucinar algo 1 pepa aprox, las de 25i me parece que están buenas hasta sierta medida, 1/4 o 1/2, como dijeron arriba son muy psicodelicas muy flasheras, con media ya tenes una distorsión importante de la realidad y lo que ves jaja, pero no a todo el mundo le gusta mucho eso, a mi me dejan siempre inconforme como que no se que hacer, a parte me hacen sentir muy sarpado con la gente que no conozco, no hay tantas risas, ay gente que le gusta a mi personalmente no.","Generalmente no salgo los jueves por la tarde.","Otro"
"seguramente","Oe pero Mexico ya le clavo 5 a Nueva Zelanda n su último partido asi que...No y ademas mexico tiene un equipo decente, se ve que antes han dejao todo pa ultima hora, <strong>seguramente</strong> tendran un fallo que ha hecho efecto domino en el equipo; si lo saben encontrar, seguro que levantan cabeza.","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente."
"seguramente","Y como en todo lugar, hay más de uno intentando ya verificar tus dotos, publicar tu foto <strong>seguramente</strong>, o ver tu perfil personal, profesional, etc...","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente."
"a veces","<strong>a veces</strong> dan capitulos curiosos como ese en que la paisana y sus ocasionales patrones fueron atacados por diversos paisanos en la sierra... me parece o en la serie creen que por alla todos son agresivos?","A veces puedo ser un poco molesto.","Otro"
"principalmente","Sólo el gobernador José Reyes Baeza recibió los aplausos de los presentes en todas sus intervenciones, <strong>principalmente</strong> tras reconocerse como el primer responsable de los problemas del Estado","El orégano se usa principalmente como condimento.","Otro",""
"tal vez","Mmmm... pensándolo bien, <strong>tal vez</strong> los mariscales ofrecen la errónea explicación de la ""conducta normal homosexual de 1500 especies de animales"" porque no pueden justificar su desviación desde el complejo punto de vista de un ser humano racional que hace uso de su capacidad intelectual.","Tal vez sea mejor que hablemos con tu familia.","Otro"
"alguien","Pero sin embargo, nada de eso se exige a un político, <strong>alguien</strong> que de alguna forma tiene los destinos de un país en sus manos.","Alguien tendrá que limpiar este desastre.","Yo soy alguien en quien confiar."
"no se","de tantas preguntas que me hice..., conteste muy pocas, <strong>no se</strong> nada","No sé si sea la mejor idea.","Esto no se puede hacer en menos de una hora."
"necesariamente","Lo que se aplico en el caso de fujimori fue la teoria del dominio del hecho, la cual exime tener que probar la culpabilidad porque se ""supone"" que el jefe tienen <strong>necesariamente</strong> que saber pero como dicha teoria no esta regulada en nuestro sistema simplemente (y dicho sea de paso esta reñida con los principios de derecho penal) se dijo que se trata de autoria mediata pero en realidad no es asi.","No necesariamente lloverá esta tarde.","La ciencia política está necesariamente conectada a la economía."
"bastantes","Primero: consume jugo de sabila, si puedes todos los dias, en las mañanas antes de desayunar, ya que el gel de aloe vera que posee ayudara a tu estomago a limpiar sus paredes e intentar desinflamarlas, y esto acompañalo con <strong>bastantes</strong> frutas(si puedes con cascara), ya que te ayudaran a tener un mejor proceso digestivo.","Hay bastantes cosas por hacer.","Otro"
"virtualmente","ERROR&lt;,,, es puro sexo !!!! virtual pero sexo,,,jer, jer....capaz que el aguila tambien consume su matrimio <strong>virtualmente</strong> !!!!jer, jer","Es virtualmente imposible cruzar el valle caminando.","Yo me comunico virtualmente a través de mi computadora."
"alguno","Necesitas ir a Colombia a que <strong>alguno</strong> de la oposicion te lo explique.","Pedro no dejó rastro alguno.","Otro"
