hedge,sentence,usage1,usage2
"aproximadamente","Hola, soy Javier y tambien me marcho para Pekin en un mes <strong>aproximadamente</strong> a trabajar.","La pared mide aproximadamente 15 metros.","Otro"
"varios","La idea de ir a vivir a Miami surjió después de animarnos a ir a Estados Unidos a trabajar y después de mirar <strong>varios</strong> sitios hemos pensado que es el mejor (a nuestro criterio).","Tenemos varios servicios disponibles.","Otro"
"puede","El aspirador es alto pero a su vez tiene acoplado uno pequeño de mano que se <strong>puede</strong> sacar.","Esta ruta puede ser peligrosa.","José puede entrar gratuitamente por ser un estudiante."
"espero","Gracias y <strong>espero</strong> que nadie tenga problemas con ningún vuelo :)","Espero que todo salga bien.","Espero una respuesta antes del Lunes."
"reducido","Nosostros hemos <strong>reducido</strong> jornada los dos @DorisDay.","El espacio para convivir es reducido.","Los fondos para el arte se han reducido."
"necesariamente","Eso sí, del mismo tipo que el puesto ofertado (que efectivamente debe ser cualificado y no <strong>necesariamente</strong> univesitario).","No necesariamente lloverá esta tarde.","La ciencia política está necesariamente conectada a la economía."
"poco","El caso es que por lo menos yo e imagino que mucha gente, poco a <strong>poco</strong> ves como la situación ya deja pruebas a la vista de lo delicada que es y cada vez mas; gente discutiendo en los hipermercados con las cajeras por precios, tarjetas de pago etc. vecinos a los que les embargan los pisos con hijos de 10 años y madres solteras, etc etc etc etc etc etc.","Sería poco prudente hablarle de esa manera.","Hay poco entusiasmo en el público."
"suena","Me <strong>suena</strong> un poco a publicidad gratuita, de todas formas","Tu idea me suena bien.","Las bocinas suenan demasiado fuerte."
"deberias","<strong>deberias</strong> advertir que el post es un Artículo.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia."
"puede","Me voy alli a estudiar un Msc ahora en Setiembre... alguien <strong>puede</strong> decirme algo sobre el lugar?","Esta ruta puede ser peligrosa.","José puede entrar gratuitamente por ser un estudiante."
"un par","Cuando ya llevas <strong>un par</strong> de semanas aqui empiezas a echar de menos a tu familia y lo bien que estabas en Espana, pero realmente es una experiencia positiva.","Tengo un par de sugerencias.","La tercia vence al par en un juego de póquer."
"asumo","<strong>asumo</strong> que eres mujer...  ora et labora, hermana.","Yo asumo que me darán un aumento.","Yo asumo la posición de director."
"quien sabe","a finales de junio acabo un master y quiero marcharme sin billete de vuelta a bristol, aunque calculo que como mucho estaría hasta Navidad (aunque... <strong>quien sabe</strong>) necesito aprender mucho mucho mucho inglés para completar la formación de ese máster que estoy cursando.","Quién sabe si esto funcione.","¿Quién sabe cómo resolver este problema?"
"entiendo","Sí, KD, yo también te <strong>entiendo</strong>.","Entiendo si no puedes asistir a mi fiesta.","Yo entiendo la tarea de matemáticas."
"la mayoria","Si hablas del matrimonio entre parejas del mismo sexo, por ejemplo, si se le quita ese derecho es porque no esta legalizados en <strong>la mayoria</strong> de estados.","La mayoría de ustedes me conoce.","Otro"
"bastantes","Mírate en Google ""fraudes científicos""... precedentes hay <strong>bastantes</strong> como para no creer en alguien ciegamente.","Hay bastantes cosas por hacer.","Otro"
"creo","no <strong>creo</strong> ke sea cuestion de paises, si no mas bien de personas... da iwal ke estés en china como en España!! la gente es iwal de apañá","Yo creo que hay que esperar.","Yo creo en la resurrección de Jesucristo."
"practicamente","Donde me gustó mucho fue Laos y Camboya que <strong>practicamente</strong> se habían abierto al turismo cuando estuve.","La película es prácticamente una parodia.","Otro"
"principalmente","Mis hijos han nacido aquí y hablan <strong>principalmente</strong> Alemán, un poco de Español y un poco de Búlgaro.","El orégano se usa principalmente como condimento.","Otro",""
"imagino","Bueno pitguigo a mi se me hace increible tambien, ahora si que estoy yo tambien confundido ¡! porque resulta que a mi me quedaba claro, que en inmigración de cualquier aeropuerto USA si saben cuando te vas, por el registro de pasajeros <strong>imagino</strong>... Pero en el caso que cuentas, me parece bastante sorprendente que no tengan control en cuanto a si te vas o no.","Imagino que hay que actuar cuanto antes.","Imagino un mundo sin violencia."
"puede","En realidad cualquier tienda <strong>puede</strong> prohibir o no los perros (las de comida no tienen mas remedio), depende del dueno.","Esta ruta puede ser peligrosa.","José puede entrar gratuitamente por ser un estudiante."
"un poco","En fin, tengo una situación <strong>un poco</strong> delicada y no sé por dónde va a salirnos el tema...","Es un poco atrevido hablarle de esa manera.","Preparé un poco de pollo para la comida."
"medio","a mi me paso igual y bueno me apañe un coche <strong>medio</strong> regular y voy al pueblecino donde trabajo, a media hora.","Juan está medio loco.","Mi asiento es el de en medio."
"confio","bueno bada <strong>confio</strong> en ti para que escribas algo que llegue, y como dices tu ""aderezado"" con los comentarios de los spaniardos jjajaja","Yo confío en que todo saldrá bien.","Confío el ciudado de mis hijos a José."
"varios","Personalmente he estado con <strong>varios</strong> visados temporales de distintos tipos hasta que he aplicado este año para la residencia.","Tenemos varios servicios disponibles.","Otro"
"aproximadamente","En mi academia querían que les enseñara <strong>aproximadamente</strong> 1500$ por mes que estuviera allí.","La pared mide aproximadamente 15 metros.","Otro"
"virtualmente","joooo, Dussy, es que sebas es el único que coquetea conmigo, aunque sólo sea platónicamente, y a una le gusta que le regalen el oído aunque sea <strong>virtualmente</strong>, :D","Es virtualmente imposible cruzar el valle caminando.","Yo me comunico virtualmente a través de mi computadora."
"alguna","Mejor no hablemos de las fiestas de la espuma que nos banean directamente, no se si <strong>alguna</strong> vez estuviste en las dalias.........dios mio de mi vida...las cosas que se veian alli, hacen que lo de las palomitas sea una partida al parchis.","Alguna pluma habrá caído por la abertura.","Otro"
"virtualmente","Pero bueno, parece que algunos necesitan pegarse a muerte <strong>virtualmente</strong> para desahogarse o algo.","Es virtualmente imposible cruzar el valle caminando.","Yo me comunico virtualmente a través de mi computadora."
"aparentemente","<strong>aparentemente</strong>, las tuberias se habian congelado asi que no podiamos utilizar los grifos, no podiamos ducharnos ni nada, con lo cual celebrar una fiesta quedaba fuera de toda posibilidad y estuvimos con todo empantanado durante una semana.","Aparentemente habrá un concierto esta tarde.","Otro"
"seguido","Pues si tuviera que arrepentirme de algo realmente, sería de no haber <strong>seguido</strong> estudiando sueco y no haberme ido a Suecia, o de haber dejado marchar a mi rusoespañol, o de no haberme casado con mi escocés.","Mis padres me visitan muy seguido.","Otro"
"tal vez","¿<strong>tal vez</strong> pq son 'muy diferentes' a los demás?","Tal vez sea mejor que hablemos con tu familia.","Otro"
"necesariamente","Se tiene que apoyar <strong>necesariamente</strong> en lo colectivo, no le queda otra opción, quiera o no quiera.","No necesariamente lloverá esta tarde.","La ciencia política está necesariamente conectada a la economía."
"algun","No se si eso llegaré a superarlo <strong>algun</strong> día, espero que sí, porque si no se me complicarían mucho las cosas.","Algún lápiz habrá caído por la abertura.","Otro"
"parcialmente","Cuando se puede ver algo o en este caso ver alguien que es honesto o <strong>parcialmente</strong> directa o indirectamente con sus sentimientos es posible tomar las decisiones adecuadas, pero y si es lo opuesto?","Lo que dices es parcialmente verdadero.","Otro"
"creo","Hola Marcos, aquí estuvo un colega mío de Canarias viviendo un tiempo y <strong>creo</strong> que está muy bien, a ver si lo localizo y te informo porque está viviendo en Praga y hace tiempo que no hablo con el....","Yo creo que hay que esperar.","Yo creo en la resurrección de Jesucristo."
"tecnicamente","<strong>tecnicamente</strong>, el sistema bancario espanyol esta quebrado, si se mantiene con el dinero publico o con lo que vende espanya en bonos...que al final pagamos entre todos...","Técnicamente no es una respuesta correcta.","Los resultados del estudio son técnicamente precisos."
"por decir algo","Para seguir a los A-levels (que es el GCE, el General Certificate of Education) los colleges o sixth-forms (en Reino Unido un ""college"" hace referencia o bien a un colegio mayor de Oxbridge o bien a un instituto, no a la universidad como en Estados Unidos) te piden 5 GCSE entre A* y C. Se suelen hacer entre 8 y 11, <strong>por decir algo</strong>, aunque también hay gente que hace 7 y gente que hace 15.","Podrías salir a comer, por decir algo.","Castigaron a Manuel por decir algo ofensivo."
"practicamente","Pero sin saber el ingles, aunque sea basico/intermedio es <strong>practicamente</strong> imposible encontrar trabajo aqui, a menos que sea de limpiador o de taxista...y aveces ni eso!","La película es prácticamente una parodia.","Otro"
"frecuentemente","La nobleza, como los príncipes/as herederos tienen obligaciones reproductivas, así que el amor es secundario y <strong>frecuentemente</strong> el amor se convierte en esos casos, en prisiones para toda la vida.","Mis padres me visitan frecuentemente.","Otro"
"particularmente","SI bien es cierto que algunos se fueron de ilegales en los 60 y 70 también hay que destacar los millones que no se fueron de esa manera, yo <strong>particularmente</strong> en Venezuela puedo decir que los miles de Españoles que conocí, ninguno que haya estado o ingresado de forma irregular.","Esto no es particularmente divertido.","Otro"
"sugiero","Pues si te <strong>sugiero</strong> un lugar (no he estado en demasiados pero quizas sea uno de los lugares mas bellos y no es un destino turistico tan explotado) la costa amalfitana en Italia, cerca de Napoles y en frente de Capri, es un sitio mediterraneo pero bestial!","Sugiero que esperemos un momento.","Sugiero y evoco recuerdos de la infancia al tocar el piano."
"entiendo","No <strong>entiendo</strong> el comentario de @malagueño... que tienes contra  ? a mi me parece muy coherente lo que ha dicho....","Entiendo si no puedes asistir a mi fiesta.","Yo entiendo la tarea de matemáticas."
"mas o menos","Además ese ""¿cómo estás?"" suele ir seguido de una charla <strong>mas o menos</strong> prolongada, dependiendo del tiempo que estéis sin veros y del grado de afecto o conocimiento que se tengan los que se hayan saludado.","Me dijeron más o menos qué tengo que hacer.","Usa más o menos azúcar de acuerdo a tu gusto."
"usualmente","La cantidad de dinero a demostrar es a la escuela y a la embajada, aunque <strong>usualmente</strong> la embajada no te lo miran, ya que se fian de la escuela y del I 20 que te dan, aunque de todas formas tienes que llevarlo a la entrevista en la embajada.","Usualmente no salgo los jueves por la tarde.","Otro"
"la mayoria","A eso le hemos añadido el matiz social de la comida, que se traduce en comer con aquellos con quienes también compartes casa, repartiéndose los turnos de cocinar, fregar, etc. Es por pura sociabilidad y organización, porque a <strong>la mayoria</strong> nos gusta compartir ese rato con la familia, pareja, amigos, compañeros, etc...al menos una vez al día si se puede.","La mayoría de ustedes me conoce.","Otro"
"algunos","Menuda demagogia acida arrastran <strong>algunos</strong>, cuando lo normal seria alegrarse sin condiciones.","Algunos dicen que murió ahogado.","Otro"
"la mayoria","A mí siempre me han dicho que <strong>la mayoria</strong> de los dictadores son Sagitario... por eso no suelo sacar nunca el tema :-D","La mayoría de ustedes me conoce.","Otro"
"siento","nena yo me <strong>siento</strong> mas o menos como tu,","Siento que podríamos trabajar más a fondo.","Siento un dolor fuerte en el estómago."
"probablemente ","Pues con todo lo que llevo leido de la vida en Japón en este foro, <strong>probablemente </strong>no sea de los mejores sitios para un extranjero, en general.","Probablemente sea mejor que hablemos con tu familia.","Otro"
"creo","@okf, pero que dicesssss?? Si os he visto hasta yo, que habeís colgado fotos vuestras!!! Bueno el nuevo no, y citizen se me escapa, pero todos los demas <strong>creo</strong> que ya habeís puesto foto.","Yo creo que hay que esperar.","Yo creo en la resurrección de Jesucristo."
"principalmente","Resulta que llevaba ya prácticamente sufriendo mobbing por los compañeros <strong>principalmente</strong> en mi lugar de trabajo desde hacía casi 4 meses.","El orégano se usa principalmente como condimento.","Otro",""
"bastante","estás en Múnich o Berlín que con tu último post no me queda claro... si estás en Múnich los barrios más conflictivos o que tienen ""fama de"" suelen ser Neuperlach y Berg am Laim, yo cuando estuve por allí viví en zonas bastante céntricas porque aunque te salga un poco más caro puedes ahorrarte bastante en medios de transporte que son <strong>bastante</strong> caros.","Hay bastante trabajo por hacer.","Otro"
"suena","Por otro lado esto me <strong>suena</strong> a Fast and Furious.","Tu idea me suena bien.","Las bocinas suenan demasiado fuerte."
"bastante","Ahora se defiende <strong>bastante</strong>, y mucho ha sido gracias a sus compis de curro.","Hay bastante trabajo por hacer.","Otro"
"diria","Yo <strong>diria</strong> que 'joyas' que deben preservarse por el bien de la humanidad e incluirlas como tributo póstumo en las antologías del disparate.","Yo diría que hay que esperar.","Mi padre diría que eso está mal."
"necesariamente","....lo veia alli y lo veo aqui (queria decir)....va en cuestion de educacion no <strong>necesariamente</strong> es el pais.","No necesariamente lloverá esta tarde.","La ciencia política está necesariamente conectada a la economía."
"necesariamente","De acuerdo, pocos continúan su instrucción después de algunos meses, pero generalmente ocurre por culpa de otros factores (familia, trabajo, tiempo, etc.), no <strong>necesariamente</strong> por una agenda oculta por ""imponer"" el español.","No necesariamente lloverá esta tarde.","La ciencia política está necesariamente conectada a la economía."
"considero","Siento el sufrimiento español como si fuera el mio, que lo <strong>considero</strong> asi.","Yo considero que sería mejor esperar.","Considero a Manuel como mi mejor amigo."
"la mayoria","Y los cristianos tienen prohibido envidiar, tener relaciones prematrimoniales, ser avaros, comer de mas, enfadarse, desear al otro sexo...En fin, <strong>la mayoria</strong> de musulmanes son mucho mas consecuentes con su religion que los catolicos, que son pura hipocresia.","La mayoría de ustedes me conoce.","Otro"
"generalmente",", el home report da pistas, lo suele poner en el tipo de construction, <strong>generalmente</strong>, si no pone traditional... sospecha","Generalmente no salgo los jueves por la tarde.","Otro"
"algo","Bueno, sigue así y le diré a Eneko que revise si esos privados de los que hablas son ciertos..y haga <strong>algo</strong> para que dejes de dar por saco.","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"entiendo","En cuanto Londres, es una ciudad que me gusta pero yo también prefiero un rollo Sabadell ( cerca de Barcelona pero con centros comerciales etc…) u otra ciudad mas Inglesa, barata y manejable, por lo dicho quiero aprender Ingles por parte de Ingleses, peeeeero el GRAN problema es que mi nivel de Ingles es intermediate hablo mas que <strong>entiendo</strong>, pero aun así es bajo, y mas como para trabajar cara al público, y como bien habéis dicho el trabajo va en función de tu Ingles así que creo que Londres en verano con los juegos olímpicos tendré mas posibilidades de trabajar en algo que no sea cara al publico que en una ciudad “pequeña”, que si me aseguran un trabajo donde sea voy!!","Entiendo si no puedes asistir a mi fiesta.","Yo entiendo la tarea de matemáticas."
"bastantes","Si también salió un tío que había vivido 12 años encima del zulo (que también tiene tela, alquilar una habitación o parte de la casa, sabiendo lo que tienes en el sótano), y decía que normalmente por las noches oía algún ruido, y que siempre lo veía entrando con <strong>bastantes</strong> bolsas de madrugada, y que incluso un día el tipo le dijo que ""entraría en la historia"".","Hay bastantes cosas por hacer.","Otro"
"multiples","*Hay partes de las historias que siguen sin aclarar y han suscitado <strong>multiples</strong> interpretaciones","Tenemos múltiples servicios disponibles.","Otro"
"sugiero","Y a todas las personas que no han tenido la experiencia de enfrentarse a la otra cara de la integración, les <strong>sugiero</strong> que no pasen de largo, y que contribuyan con su ayuda y apoyo a modificar la postura de los políticos hacia una verdadera y pacífica convivencia de toda la sociedad, pues ello está en sus manos, y es, además, su deber.","Sugiero que esperemos un momento.","Sugiero y evoco recuerdos de la infancia al tocar el piano."
"seguro","Luego tu tarjeta sanitaria europea, si tienes suerte que te la aceptan en el chômage bien sino tienes swisscare que es para au pairs y estudiantes cuesta el <strong>seguro</strong> 214 cada 3 meses,","El evento seguro será un éxito.","No es seguro caminar por estas calles."
"seguro",": Si yo veo gente desconocida sentada en la acera de mi calle <strong>seguro</strong> que tambien llamo a la policía.","El evento seguro será un éxito.","No es seguro caminar por estas calles."
"podria","Mira que hay foros donde <strong>podria</strong> despacharse a gusto, y despotricar del ""socialismo"".","Esta ruta podría ser peligrosa.","Yo podría imaginar un mundo sin violencia."
"relativamente","Yo creo que hay tantas cosas que se pueden cocinar de manera sencilla y <strong>relativamente</strong> rápido, que no entiendo comer con poca variedad, o pan con.... Es que lo del pan XY lo llevo de mal...","Esto debería de ser relativamente sencillo.","Otro"
"un poco","Yo, al currar con gente joven aprendí a la vez el frances educado y el que se habla en la calle, aunque a veces confundia cosas y la liaba <strong>un poco</strong> xD","Es un poco atrevido hablarle de esa manera.","Preparé un poco de pollo para la comida."
"debe","No, estoy en contra de eso, una persona <strong>debe</strong> morirse cuando le llegue su hora, y de muerte natural, no debe suicidarse a no ser que se le vaya la cabeza y se suicide sin ser consciente de lo que ha hecho.","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas."
"tal vez","Siendo el partido conservador el que esta en el poder, <strong>tal vez</strong> la cadena conservadora en la que trabjas hagan algo.","Tal vez sea mejor que hablemos con tu familia.","Otro"
"suena","pues no se si te <strong>suena</strong> Choi Hong-man (el Goliath).","Tu idea me suena bien.","Las bocinas suenan demasiado fuerte."
"siento","<strong>siento</strong> no recordar detalles.","Siento que podríamos trabajar más a fondo.","Siento un dolor fuerte en el estómago."
"ocasionalmente","Que decir de mi, que me encantan los niños, soy monitor de ocio y tiempo libre desde hace 3 años y trabajo en actividades extraescolares en un colegio, aparte soy canguro <strong>ocasionalmente</strong>.","Ocasionalmente visito a mis tíos en España.","Otro"
"particularmente","Yo, <strong>particularmente</strong>, no les envio el lidiar todos los días con sacos de hormonas en plena efervescencia, niños que no están para nada acostumbrados ni a la disciplina ni a recibir un no por respuesta ni saben gestionar las frustraciones ni bichitos que, a la mínima, se meten una cera por la nariz.","Esto no es particularmente divertido.","Otro"
"hay quien","Por supuesto, <strong>hay quien</strong> que se ha quejado, aunque a la danesa, poniendo carteles en las ventanas :)","Hay quien dice que murió ahogado.","Otro"
"bastante","El sitio es <strong>bastante</strong> nuevo, esta limpio y los recepcionistas son amables (especialmente Chantal).","Hay bastante trabajo por hacer.","Otro"
"bastantes","Tenemos dos sueldos, ya, pero hemos estado viviendo del suyo <strong>bastantes</strong> años y no me puedo quejar, desde el 2006 nos ha llegado para una casa de 5 habitaciones en un suburb bueno (con una hipoteca es de unos 1500 al mes), 2 coches normales, hemos comido todos los días, hemos podido ir al médico aunque gracias a dios no lo hemos necesitado mucho, hemos salido lo que nos ha apetecido, mis hijos van a la guardería, hemos podido viajar un poco por aquí y en Navidades a España, y la verdad nunca me he preocupado por no poder llegar a fin de mes.","Hay bastantes cosas por hacer.","Otro"
"supongo","Y también las clases que des en un futuro, no? Me <strong>supongo</strong> que tendrás que certificar que conoces el catalán con algún título o algo, pero lo que es el examen y la exposición... debería ser en Inglés, como en toda España!","Supongo que hay que esperar.","Yo no supongo nada para la comunidad."
"deberia","no es un gesto que le honra, este tio esta muy bien aconsejado, lo ha hecho por que si no seria peor, saben que no tienen que calentar mucho a la gente, no es buena persona y dire por que; con la que esta cayendo es el pais, si lo ha pagado el, en lugar de gastarse ese dinero en irse de caza, lo <strong>deberia</strong> de donar a una asociacion que ayude a familias necesitadas, hubiese demostrado tener buen corazon, por que, no nos enganiemos, se puede haber gastado la friolera de 60000 euros como minimo, esta gente usa el pais y la gente tan contenta de tener Rey, no lo entiendo, para que sirve?","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"generalmente","Encima si buscas piso y no habitación todavía más complicados, ya que <strong>generalmente</strong> los alquileres (por lo menos en Bristol) son mínimo de seis meses.","Generalmente no salgo los jueves por la tarde.","Otro"
"suena","Lo de chingar sí que me <strong>suena</strong> vaya.","Tu idea me suena bien.","Las bocinas suenan demasiado fuerte."
"bastantes","La verdad que he visitado <strong>bastantes</strong> sitios, pero aún me quedan muchos.","Hay bastantes cosas por hacer.","Otro"
"considero","gracias por el piropo :P me <strong>considero</strong> joven, pero ya no ""muy joven"".","Yo considero que sería mejor esperar.","Considero a Manuel como mi mejor amigo."
"ocasionalmente","En la calle no se venden drogas, no hay atracos ni nada parecido, bueno, muy <strong>ocasionalmente</strong>, yo en seis años solo vi un atraco de un taxista.","Ocasionalmente visito a mis tíos en España.","Otro"
"alguna","TeresaGarcia, la harina de chana dal se llama también besan, igual preguntado así la puedes encontar en <strong>alguna</strong> tienda.","Alguna pluma habrá caído por la abertura.","Otro"
"seguido","creo que lo del cura ya lo he explicado, creo que sin andar con muchas sutilizas se entiendo lo que quiere decir tendenciosidad en exponer una noticia para acto <strong>seguido</strong> decir que poco menos habrà que salir corriendo de este pais de nazis, el ser tendencioso es algo que en mi opinion no es positivo.","Mis padres me visitan muy seguido.","Otro"
"diria","yo porque ya no como esas cosas pero buena la morcilla.. buen rica rica que <strong>diria</strong> el arguiñano (otro que echamos de menos.. vosotros no? jeje)","Yo diría que hay que esperar.","Mi padre diría que eso está mal."
"considero","Pues yo estoy más con  que con ... supongo que tambien soy un poco virtualmente antisocial pero <strong>considero</strong> que ya hay suficientes ""malentendidos"" en mi vida debido a barreras culturales e idiomaticas como para añadir un exceso de los que se producen por no hablar cara a cara.","Yo considero que sería mejor esperar.","Considero a Manuel como mi mejor amigo."
"de repente","Es verte, de buenas a primeras (en mi caso, creo que fue a partir de plantarme y decir que si salía a las 2 de la mañana cuando tenía que hacerlo a las 8, no me iba a entrar a las 9 ni de coña) ninguneado por tu jefe y/o tus compañeros (en mi caso, sólo una parte de mis compañeros siguieron el juego al jefe), que <strong>de repente</strong> todos tus trabajos se tiren para atrás, tus opiniones son ridiculizadas, te critiquen abiertamente delante de los clientes, los trabajos de los que todo el mundo escapa como de la peste te son asignados (cuando tú ya tenías tu plannig para la siguiente semana bien definido).","De repente sentí muchas ganas de jugar futbol.","Otro"
"raramente","La otra cosa que se suele hacer por estas épocas es plantar...su jardín de hortalizas o flores, etc. En realidad con el clima que tenemos ahora, en la ciudad de Toronto por lo menos, yo y mucha gente ya, suelo plantar mucho antes...<strong>raramente</strong> hay ya heladas graves en Toronto en Abril...pero cuando yo era pequeña lo normal era esperar hasta que llegara el Victoria Day...por las dudas.","Raramente ceno en ese restaurante.","Otro"
"particularmente","Y por otro lado lo de las ""escorias nucleares"" que <strong>particularmente</strong> es lo que mas me preocupa a mi, pues ya que contaras como es que las eliminan de forma economica para incrementar las ganancias.....","Esto no es particularmente divertido.","Otro"
"a veces","reconozcamos que en latino américa hacen un cine muy malo por lo general... con sus excepciones como el cine argentino y <strong>a veces</strong> el mexicano pero el resto... puufff da miedo ver eso sin haber visto un trailer por lo menos :)","A veces puedo ser un poco molesto.","Otro"
"medio","ira:cada vez que algún listo ignora el cartel de metro por <strong>medio</strong> metro de color naranja chillón y negro que dice que el estacionamiento es exclusivo de mi negocio, en dos idiomas, dioooos qué cara le echan algun@s","Juan está medio loco.","Mi asiento es el de en medio."
"alguno","Hola a todos, llevo un año trabajando en Lucerna, tengo contrato por temporera y por tanto el permiso L, pude alquilar un estudio pero se me queda pequeño debido a que mi mujer se viene a vivir para aquí,pero no doy encontrado nada, a ver si <strong>alguno</strong> de vosotros me dice como hizo o sabe alguna pagina que se anuncien particulares.","Pedro no dejó rastro alguno.","Otro"
"supongo","<strong>supongo</strong> que la gente tendrá un seguro privado para cubrir lo que no paga la seguridad social de UK.","Supongo que hay que esperar.","Yo no supongo nada para la comunidad."
"entiendo","En mi casa siempre hemos tenido perros, y te <strong>entiendo</strong>.","Entiendo si no puedes asistir a mi fiesta.","Yo entiendo la tarea de matemáticas."
"alguien","Espero que este hilo ayude a <strong>alguien</strong>, si teneís algo para añadir, os agradezco.","Alguien tendrá que limpiar este desastre.","Yo soy alguien en quien confiar."
"gran parte","Una organización social que condena a la mayoría de la juventud a la marginación, a <strong>gran parte</strong> de la población activa al desempleo, a los jubilados a aspirar únicamente a la supervivencia, a los niños a crecer en un ambiente donde reina el mercantilismo más chato, y al conjunto de la población a tener como referencia básica en la vida la puerilidad y la superficialidad.","Una gran parte de ustedes me conoce.","Otro"
"diria","Yo <strong>diria</strong> que con una hipoteca, clases en la universidad y bastante dinero en el banco no deberia de haber mayores problemas, pero no quiero asegurartelo, no vaya a ser que luego te lo denieguen y me eches la culpa :P, aunque si no te lo conceden a ti con hipoteca y dinero no se a quien se lo van a dar entonces.","Yo diría que hay que esperar.","Mi padre diría que eso está mal."
"quien sabe","Pero me siento afortunado porque <strong>quien sabe</strong> como seria mi vida en este momento si yo no hubiera nacido aquí.","Quién sabe si esto funcione.","¿Quién sabe cómo resolver este problema?"
"parcialmente","Porque tengo la impresión que entienden <strong>parcialmente</strong> lo que quieren y yo quiero que entiendan la realidad, no la ficción!!! ;-)","Lo que dices es parcialmente verdadero.","Otro"
"podria","PD: alguien me <strong>podria</strong> decir, a que podría equivaler un ciclo de grado medio y superior (Técnico y Técnico superior) en producción por mecanizado?","Esta ruta podría ser peligrosa.","Yo podría imaginar un mundo sin violencia."
"aproximadamente","Me sumo a las búsquedas de habitación por una temporada en NY, en mi caso es menos tiempo, voy por trabajo solo tres meses y en principio me iria sobre el 15 de julio <strong>aproximadamente</strong> pero me tengo que buscar yo el alojamiento.","La pared mide aproximadamente 15 metros.","Otro"
"varios","Existe alguna posibilidad de alquilar, aunke sea adelantando <strong>varios</strong> meses (además de fianza)?","Tenemos varios servicios disponibles.","Otro"
"parece","Por eso, trabajar como au pair <strong>parece</strong> ser un excelente compromiso.","Me parece que hay que esperar.","Te pareces a tu padre en esta foto."
"alguien","Si a <strong>alguien</strong> esta interesado en conocer gente nueva, me ofrezco voluntaria jeje!! Un besote a todos los callejeros viajeros :P!!","Alguien tendrá que limpiar este desastre.","Yo soy alguien en quien confiar."
"gran parte","Así a bote pronto, creo que se ha reducido la aceptación de la violencia y la institucionalización de la violencia en <strong>gran parte</strong> del mundo.","Una gran parte de ustedes me conoce.","Otro"
"virtualmente","Ale, a darle caña (<strong>virtualmente</strong>)","Es virtualmente imposible cruzar el valle caminando.","Yo me comunico virtualmente a través de mi computadora."
"quiza","una lástima, pero yo no puedo la próxima semana ya que trabajo por la tarde y termino bastante tarde también.. ;) <strong>quiza</strong> en tu próxima visita!! De todas formas, quizá alguien de los frecuentes por aquí puede quedarte un ratillo!! Suerte!","Quizá sea mejor que hablemos con tu familia.","Otro"
"quien sabe","Espero que os vaya bien y <strong>quien sabe</strong>, igual un dia cuando volvais a Malaga echais de menos cosas del norte.","Quién sabe si esto funcione.","¿Quién sabe cómo resolver este problema?"
"a veces","De todo habrá, , pero <strong>a veces</strong> la gente va porque en el médico de familia les han dado número para una semana y no pueden esperar.","A veces puedo ser un poco molesto.","Otro"
"no se","Aqui en Turquia <strong>no se</strong> puede beber agua del grifo en Estambul, Ankara y Eskişehir.","No sé si sea la mejor idea.","Esto no se puede hacer en menos de una hora."
"debe","los de que todo es naranja no <strong>debe</strong> de preocuparte hasta que no tengamos que jugar contra Holanda.","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas."
"aproximadamente","La probabilidad de muerte en la piscina (1 en 11.000) frente a la muerte por arma (1 en 1 millón o más) ISN Ni siquiera cerca: Molly es <strong>aproximadamente</strong> 100 veces más probabilidades de morir en un accidente de natación en casa de Imani que en disparos a Amy.""","La pared mide aproximadamente 15 metros.","Otro"
"alguien","Ya que has abierto el hilo, <strong>alguien</strong> sabe donde comprar pimentón bueno y los pimientos estos secos, no sé como se llaman, choriceros?.","Alguien tendrá que limpiar este desastre.","Yo soy alguien en quien confiar."
"particularmente","<strong>particularmente</strong>, me parece la misma estupidez que decirle a alguien que preocupado por el medio ambiente que vaya a trabajar a caballo (en bici no, que su producció industrial contamina) y que se ilumine con la luz de unas velas hechas de cera respetuosa con la idosincrasia de las abejas.","Esto no es particularmente divertido.","Otro"
"tal vez","que la gente se hace preguntas una vez lo ve,y <strong>tal vez</strong> se vayan,tal vez no,pero se lo creen.que","Tal vez sea mejor que hablemos con tu familia.","Otro"
"quiza","O <strong>quiza</strong> en esa ciudad siempre se usan asi.","Quizá sea mejor que hablemos con tu familia.","Otro"
"bastante","Hay tambien unos muy suaves, dulces y con un poco de gas, tipo lambrusco que se toman <strong>bastante</strong> por aqui.","Hay bastante trabajo por hacer.","Otro"
"frecuentemente","Si vivis por Washington DC o alrededores (o venis por aquí <strong>frecuentemente</strong>) y os animáis responded a este hilo!!!","Mis padres me visitan frecuentemente.","Otro"
"basicamente","Este hotel esta preparado para <strong>basicamente</strong> gente que necesita dormir y en vez de pasar la noche tirado en el aeropuerto (cosa que tengo experiencia y mientras pueda NUNCA MÁS haré) puedas tener un lugar donde dormir y descansar.","La película es básicamente una parodia.","Otro"
